FusionName	Fusion_Type	Gene_Symbol	Gene_Position	Fusion_anno	BreakpointLocation	annots	Kinase_domain_retained_Gene1A	Kinase_domain_retained_Gene1B	Reciprocal_exists_either_gene_kinase	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
PPP2R5C--NDUFA3	other	NDUFA3	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr19]], translocation			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
MICALL2--HIPK2	in-frame	HIPK2	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:138.10Mb]], duplication		Partial	FALSE		Kinase, TumorSuppressorGene, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
AC119674.1--CEBPD	other	CEBPD	Gene1B		Genic	[INTERCHROMOSOMAL[chr1--chr8]], translocation			FALSE		TumorSuppressorGene, TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
FGFR2--SHTN1	in-frame	SHTN1	Gene1B		Genic	[ChimerSeq, FA_CancerSupp, INTRACHROMOSOMAL[chr10:4.35Mb]], deletion	Partial		FALSE	Kinase, CosmicCensus, Oncogene, Kinase	CosmicCensus			2/285	0.70%	0/225	0.00%	0/48	0.00%
THSD1--VPS36	frameshift	VPS36	Gene1B		Genic	[INTRACHROMOSOMAL[chr13:0.01Mb], LOCAL_REARRANGEMENT:-:[6108]], duplication			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
PID1--RAF1	in-frame	RAF1	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr3]], translocation		Yes	FALSE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
7SK--VIM	other	VIM	Gene1B		Genic	[INTERCHROMOSOMAL[chr1--chr10]]			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
FOCAD--NFIB	other	NFIB	Gene1B		Genic	[INTRACHROMOSOMAL[chr9:6.26Mb]], deletion/3'-3'			FALSE		CosmicCensus, Oncogene, TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
NFIB--FOCAD	frameshift	FOCAD	Gene1B		Genic	[INTRACHROMOSOMAL[chr9:6.26Mb]], duplication/5'-5'			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
QKI--GPR63	other	GPR63	Gene1B		Genic	[INTRACHROMOSOMAL[chr6:66.58Mb]]			FALSE	TumorSuppressorGene, CosmicCensus				1/285	0.35%	0/225	0.00%	0/48	0.00%
VIM--RN7SL2	other	RN7SL2	Gene1B		Genic	[INTERCHROMOSOMAL[chr10--chr14]]			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
BRAF--PID1	in-frame	PID1	Gene1B		Genic	[INTERCHROMOSOMAL[chr7--chr2]], translocation	No		TRUE	Kinase, CosmicCensus, Oncogene, Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
PID1--BRAF	other	BRAF	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr7]], translocation		No	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
PID1--BRAF	frameshift	BRAF	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr7]], translocation		No	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
PID1--BRAF	in-frame	BRAF	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr7]], translocation		Yes	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
KANK1--NTRK2	in-frame	NTRK2	Gene1B		Genic	[INTRACHROMOSOMAL[chr9:83.92Mb]], deletion		Yes	FALSE	TumorSuppressorGene	Oncogene, Kinase			2/285	0.70%	0/225	0.00%	0/48	0.00%
PLPPR1--SLC24A2	in-frame	SLC24A2	Gene1B		Genic	[INTRACHROMOSOMAL[chr9:81.24Mb]], inversion			FALSE					1/285	0.35%	0/225	0.00%	0/48	0.00%
TMEFF1--RPSAP49/SPIN1	frameshift	RPSAP49	Gene1B		Intergenic	[], duplication			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
TSC1--MIR4291/AL442224.1	other	MIR4291	Gene1B		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
ZNF528--ZNF610/ZNF880	frameshift	ZNF610	Gene1B		Intergenic	[], duplication			FALSE	TranscriptionFactor	TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
ADAMTS18--ADAMTS18	in-frame	ADAMTS18	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr16:0.19Mb]], duplication/non-canonical_splicing			FALSE	TumorSuppressorGene, Oncogene	TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
ZFHX4--ZFHX4	in-frame	ZFHX4	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr8:0.19Mb]], duplication/non-canonical_splicing			FALSE	TranscriptionFactor	TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
TNR--RN7SL2	other	RN7SL2	Gene1B		Genic	[INTERCHROMOSOMAL[chr1--chr14]]			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
TNR--RFWD2	other	RFWD2	Gene1B	TCGAFusion	Genic	[FA_CancerSupp, INTRACHROMOSOMAL[chr1:0.20Mb]], duplication			FALSE	Oncogene	TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
AL050305.1/AL591501.1--DMD	other	DMD	Gene1B		Intergenic	[], deletion			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SRGAP3--RAF1	in-frame	RAF1	Gene1B		Genic	[Cosmic, ChimerSeq, ChimerKB, INTRACHROMOSOMAL[chr3:3.33Mb]], duplication		Yes	FALSE	TumorSuppressorGene, CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
CLIP1--ROS1	in-frame	ROS1	Gene1B		Genic	[ChimerKB, Cosmic, INTERCHROMOSOMAL[chr12--chr6]], translocation		Yes	FALSE	CosmicCensus	CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
AC013652.1--THBS1	other	THBS1	Gene1B		Genic	[INTRACHROMOSOMAL[chr15:0.15Mb]], duplication/5'-5'			FALSE		TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
DST--USP24	in-frame	USP24	Gene1B		Genic	[INTERCHROMOSOMAL[chr6--chr1]], translocation			FALSE	Oncogene	Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SNHG14--B2M	other	B2M	Gene1B		Genic	[INTRACHROMOSOMAL[chr15:19.29Mb]], deletion			FALSE		CosmicCensus, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
ZSCAN9/ZKSCAN4--ZSCAN9	other	ZSCAN9	Gene1B		Intergenic	[], duplication			FALSE	TranscriptionFactor	TranscriptionFactor			2/285	0.70%	0/225	0.00%	0/48	0.00%
UNC79--UNC79	frameshift	UNC79	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr14:0.37Mb]], duplication			FALSE	Oncogene	Oncogene			2/285	0.70%	0/225	0.00%	0/48	0.00%
CDC5L--MYB	in-frame	MYB	Gene1B		Genic	[INTRACHROMOSOMAL[chr6:90.73Mb]], deletion			FALSE	TranscriptionFactor	CosmicCensus, Oncogene, TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
MYB--QKI	in-frame	QKI	Gene1B		Genic	[ChimerPub, INTRACHROMOSOMAL[chr6:28.19Mb]], deletion			FALSE	CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene, CosmicCensus			2/285	0.70%	0/225	0.00%	0/48	0.00%
QKI--CDC5L	in-frame	CDC5L	Gene1B		Genic	[INTRACHROMOSOMAL[chr6:118.96Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus	TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
BRAF--RNF130	frameshift	RNF130	Gene1B		Genic	[INTERCHROMOSOMAL[chr7--chr5]], translocation	No		TRUE	Kinase, CosmicCensus, Oncogene, Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
RNF130--BRAF	in-frame	BRAF	Gene1B		Genic	[ChimerKB, Cosmic, INTERCHROMOSOMAL[chr5--chr7]], translocation		Yes	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
AP001979.2--OPCML	other	OPCML	Gene1B		Genic	[INTRACHROMOSOMAL[chr11:0.25Mb]], deletion			FALSE		TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
DIAPH2--NTRK2	in-frame	NTRK2	Gene1B		Genic	[INTERCHROMOSOMAL[chrX--chr9]], translocation		Yes	TRUE		Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
NTRK2--DIAPH2	in-frame	DIAPH2	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chrX]], translocation	No		TRUE	Oncogene, Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
RCN2--EMP1	frameshift	EMP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr15--chr12]], translocation			FALSE		TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
CSMD1--MAP4	in-frame	MAP4	Gene1B		Genic	[INTERCHROMOSOMAL[chr8--chr3]], translocation			FALSE	TumorSuppressorGene	Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
MYB--MMP16	frameshift	MMP16	Gene1B		Genic	[INTERCHROMOSOMAL[chr6--chr8]], translocation/5'-5'			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
ABCC5--CADM2	frameshift	CADM2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:97.85Mb]], deletion/5'-5'			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
AC132008.2--THRB	other	THRB	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:173.08Mb]], deletion			FALSE		TumorSuppressorGene, TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
ACAD11--CSTA	frameshift	CSTA	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:10.22Mb]], inversion			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
AGTR1--AC068633.1/IGSF11	other	AC068633.1	Gene1B		Intergenic	[], inversion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
ARL6IP5--AC137630.1	frameshift	AC137630.1	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:20.09Mb]], inversion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
ARL6IP5--AC137630.4	frameshift	AC137630.4	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:20.10Mb]], inversion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
ARL6IP5--ARIH2	frameshift	ARIH2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:20.10Mb]], inversion/3'-3'			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
ATP5G1P3/LINC01391--MYLK	other	MYLK	Gene1B		Intergenic	[], deletion		No	FALSE		Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
ATXN7--CACNA2D3	frameshift	CACNA2D3	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:8.79Mb]], duplication			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
CACNA2D3--ATXN7	frameshift	ATXN7	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:8.79Mb]], deletion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
CAMKV--SPSB4	other	SPSB4	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:91.18Mb]], inversion	No		FALSE	Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
CCDC66--ULK4	frameshift	ULK4	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:14.59Mb]], duplication/5'-5'		No	FALSE		Kinase, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
COMMD2--CBLB	frameshift	CBLB	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:43.87Mb]], inversion/5'-5'			FALSE		CosmicCensus, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
DIRC2--LRRC3B	frameshift	LRRC3B	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:96.08Mb]], duplication			FALSE	Oncogene	TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
ERC2--ATP1B3	in-frame	ATP1B3	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:85.41Mb]], inversion			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
FGF12--MME	frameshift	MME	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:36.96Mb]], deletion/5'-5'			FALSE	Oncogene	TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
FOXP1--LINC02006	other	LINC02006	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:81.80Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
HLTF--LINC01983	frameshift	LINC01983	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:46.75Mb]], duplication			FALSE	TumorSuppressorGene, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
LRCH3--FANCD2	frameshift	FANCD2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:187.69Mb]], duplication			FALSE		CosmicCensus, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
LRIG1--FYTTD1	in-frame	FYTTD1	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:131.24Mb]], inversion			FALSE	TumorSuppressorGene, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
MGLL--ERC2	frameshift	ERC2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:71.22Mb]], deletion			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
PTPRG--ATP13A4	in-frame	ATP13A4	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:131.10Mb]], inversion			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
PTPRG--OSBPL10	frameshift	OSBPL10	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:29.48Mb]], inversion			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
PTPRG--OSBPL10	in-frame	OSBPL10	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:29.48Mb]], inversion			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
RAF1--AC117434.1/MIR7977	other	AC117434.1	Gene1B		Intergenic	[], inversion	No		FALSE	Kinase, CosmicCensus, Oncogene, Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
RBMS3--AC068633.1/IGSF11	frameshift	AC068633.1	Gene1B		Intergenic	[], inversion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
RNF13--CNTN4	frameshift	CNTN4	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:146.75Mb]], inversion/3'-3'			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SETD2--ROBO1	frameshift	ROBO1	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:31.43Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SLC4A7--ST6GAL1	frameshift	ST6GAL1	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:159.45Mb]], duplication/5'-5'			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SLMAP--KALRN	in-frame	KALRN	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:66.15Mb]], deletion		Yes	FALSE		Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
SRGAP3--TM4SF18	in-frame	TM4SF18	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:140.07Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
SRGAP3--TM4SF18	frameshift	TM4SF18	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:140.07Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
SUMF1--BFSP2	in-frame	BFSP2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:128.93Mb]], inversion			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
TBL1XR1--CCDC191	other	CCDC191	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:62.96Mb]], deletion			FALSE	CosmicCensus				1/285	0.35%	0/225	0.00%	0/48	0.00%
TMEM108--EPHA6	other	EPHA6	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:35.29Mb]], inversion/3'-3'		No	FALSE		Kinase, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
UBA3--ROBO2	frameshift	ROBO2	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:6.83Mb]], inversion			FALSE		CosmicCensus			1/285	0.35%	0/225	0.00%	0/48	0.00%
ZNF148--NFKBIZ/LINC02085	frameshift	NFKBIZ	Gene1B		Intergenic	[], deletion			FALSE	TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
ACVR1--ACVR1	frameshift	ACVR1	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr2:0.14Mb]], duplication/non-canonical_splicing	No	No	TRUE	CosmicCensus, Kinase	CosmicCensus, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
ARHGEF10--ARHGEF10	frameshift	ARHGEF10	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr8:0.13Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus	CosmicCensus			1/285	0.35%	0/225	0.00%	0/48	0.00%
BRAF--HIPK2	frameshift	HIPK2	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:0.94Mb]], deletion	No	No	FALSE	Kinase, CosmicCensus, Oncogene, Kinase	Kinase, TumorSuppressorGene, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
CHCHD3--AC073311.1	frameshift	AC073311.1	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:9.68Mb]], deletion			FALSE	TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
LINC-PINT--UBE2H	other	UBE2H	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:0.99Mb]], deletion			FALSE	TumorSuppressorGene				1/285	0.35%	0/225	0.00%	0/48	0.00%
NRCAM--DGKI	other	DGKI	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:28.92Mb]], duplication			FALSE	TumorSuppressorGene, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
SND1--PTN	frameshift	PTN	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:9.13Mb]], inversion			FALSE	CosmicCensus	Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
NF1--AC007923.1/AC004253.2	frameshift	AC007923.1	Gene1B		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
AC016831.1--LINC-PINT	other	LINC-PINT	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:0.03Mb], LOCAL_REARRANGEMENT:-:[28450]], duplication			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
CSMD1--CSMD1	in-frame	CSMD1	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr8:2.06Mb]], duplication/non-canonical_splicing			FALSE	TumorSuppressorGene	TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
KIAA1549--BRAF	other	BRAF	Gene1B	TCGAFusion	Genic	[Cosmic, ChimerPub, ChimerSeq, chimerdb_pubmed, ChimerKB, INTRACHROMOSOMAL[chr7:1.74Mb]], duplication		No	FALSE	CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			114/285	40.00%	0/225	0.00%	0/48	0.00%
BRAF--TRIM24	frameshift	TRIM24	Gene1B	TCGAFusion	Genic	[INTRACHROMOSOMAL[chr7:2.13Mb]], inversion	No		TRUE	Kinase, CosmicCensus, Oncogene, Kinase	TumorSuppressorGene, CosmicCensus, Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
CAPZA2--BRAF	in-frame	BRAF	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:23.80Mb]], inversion		Yes	FALSE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
CAPZA2--BRAF	frameshift	BRAF	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:23.80Mb]], inversion		No	FALSE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
JAZF1--DPY19L2P3	frameshift	DPY19L2P3	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:1.47Mb]], inversion			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
JAZF1--DPY19L2P3	other	DPY19L2P3	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:1.47Mb]]			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/285	0.35%	0/225	0.00%	0/48	0.00%
KLHDC10--COPG2	in-frame	COPG2	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:0.37Mb]], inversion			FALSE					1/285	0.35%	0/225	0.00%	0/48	0.00%
LMTK2--SLC25A13	frameshift	SLC25A13	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:1.78Mb]], inversion	No		FALSE	Kinase				1/285	0.35%	0/225	0.00%	0/48	0.00%
SND1--LHFPL3	frameshift	LHFPL3	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:22.74Mb]], inversion/3'-3'			FALSE	CosmicCensus				1/285	0.35%	0/225	0.00%	0/48	0.00%
TAX1BP1--BRAF	in-frame	BRAF	Gene1B	TCGAFusion	Genic	[INTRACHROMOSOMAL[chr7:112.87Mb]], inversion		Yes	FALSE		Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
TRIM24--BRAF	other	BRAF	Gene1B	TCGAFusion	Genic	[INTRACHROMOSOMAL[chr7:2.13Mb]], deletion/5'-5'		No	TRUE	TumorSuppressorGene, CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
TRIM24--BRAF	in-frame	BRAF	Gene1B	TCGAFusion	Genic	[INTRACHROMOSOMAL[chr7:2.13Mb]], inversion		Yes	TRUE	TumorSuppressorGene, CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
TRIM24--BRAF/AC006006.1	frameshift	BRAF	Gene1B		Intergenic	[], deletion		No	FALSE	TumorSuppressorGene, CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
TSPAN13--SP4	frameshift	SP4	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:4.64Mb]], deletion			FALSE	TumorSuppressorGene	TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
AFAP1--NTRK2	in-frame	NTRK2	Gene1B	TCGAFusion	Genic	[ChimerSeq, INTERCHROMOSOMAL[chr4--chr9]], translocation		Yes	FALSE		Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
BRAF--TPK1	frameshift	TPK1	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:3.53Mb]], inversion/5'-5'	No		FALSE	Kinase, CosmicCensus, Oncogene, Kinase	Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
SSBP1--TPK1	frameshift	TPK1	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:2.66Mb]], inversion			FALSE		Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
ADAM12--ADAM12	frameshift	ADAM12	Gene1B		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr10:0.38Mb]], duplication/non-canonical_splicing			FALSE	Oncogene	Oncogene			1/285	0.35%	0/225	0.00%	0/48	0.00%
KSR2--KSR2	frameshift	KSR2	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr12:0.52Mb]], duplication/non-canonical_splicing	No	No	TRUE	Kinase, Kinase	Kinase, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
FAT2--SLC36A1	other	SLC36A1	Gene1B		Genic	[INTRACHROMOSOMAL[chr5:0.01Mb], LOCAL_INVERSION:-:+:[11712]], duplication/3'-3'			FALSE	Oncogene				1/285	0.35%	0/225	0.00%	0/48	0.00%
EPHA5--EPHA5	in-frame	EPHA5	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr4:0.35Mb]], duplication/non-canonical_splicing	Yes	Yes	TRUE	Kinase, Kinase	Kinase, Kinase			2/285	0.70%	0/225	0.00%	0/48	0.00%
ZNF385D--ZNF385D	in-frame	ZNF385D	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr3:0.96Mb]], duplication/non-canonical_splicing			FALSE	TranscriptionFactor	TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
C5orf42--C5orf42	in-frame	C5orf42	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr5:0.14Mb]], duplication/non-canonical_splicing			FALSE					3/285	1.05%	0/225	0.00%	0/48	0.00%
C1orf61--PCDHGC3	in-frame	PCDHGC3	Gene1B		Genic	[INTERCHROMOSOMAL[chr1--chr5]], translocation			FALSE		TumorSuppressorGene			1/285	0.35%	0/225	0.00%	0/48	0.00%
GYG2--SRY/RNASEH2CP1	frameshift	SRY	Gene1B		Intergenic	[], translocation			FALSE		TranscriptionFactor			1/285	0.35%	0/225	0.00%	0/48	0.00%
ERC2--RAF1	in-frame	RAF1	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:42.84Mb]], deletion		Yes	FALSE	Oncogene	Kinase, CosmicCensus, Oncogene, Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
CHD7--VGLL3	in-frame	VGLL3	Gene1B		Genic	[INTERCHROMOSOMAL[chr8--chr3]], translocation			FALSE					1/285	0.35%	0/225	0.00%	0/48	0.00%
SOD2--EIF2AK4	other	EIF2AK4	Gene1B		Genic	[INTERCHROMOSOMAL[chr6--chr15]], translocation		No	FALSE	TumorSuppressorGene	Kinase			1/285	0.35%	0/225	0.00%	0/48	0.00%
