LeftBreakpoint	RightBreakpoint	FusionName	Sample	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
16:29082041	4:113174416	AC009093.3--ANK2	BS_E94QRJDW	ARRIBA	other	13	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_E94QRJDW	ARRIBA	other	13	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
7:140776912	5:180013311	BRAF--RNF130	BS_E94QRJDW	ARRIBA	frameshift	2	1	medium	[INTERCHROMOSOMAL[chr7--chr5]],translocation	BRAF	NA	RNF130	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA	NA
7:140739812	5:180013311	BRAF--RNF130	BS_E94QRJDW	ARRIBA	frameshift	1	1	medium	[INTERCHROMOSOMAL[chr7--chr5]],translocation	BRAF	NA	RNF130	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA	NA
7:140776912	5:180040647	BRAF--RNF130	BS_E94QRJDW	ARRIBA	frameshift	1	1	medium	[INTERCHROMOSOMAL[chr7--chr5]],translocation	BRAF	NA	RNF130	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA	NA
5:180013061	7:140781693	RNF130--BRAF	BS_E94QRJDW	ARRIBA	in-frame	25	4	high	[ChimerKB,Cosmic,INTERCHROMOSOMAL[chr5--chr7]],translocation	RNF130	NA	BRAF	NA	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
5:180013061	7:140781693	RNF130--BRAF	BS_E94QRJDW	STARFUSION	in-frame	25	4	NA	[ChimerKB,Cosmic,INTERCHROMOSOMAL[chr5--chr7]]	RNF130	NA	BRAF	NA	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_E94QRJDW	ARRIBA	other	13	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
12:103965852	12:125316602	TDG--TMEM132B	BS_E94QRJDW	ARRIBA	other	9	2	medium	[INTRACHROMOSOMAL[chr12:21.20Mb]],inversion/3'-3'	TDG	NA	TMEM132B	NA	NA	NA	NA	NA	NA
11:133725367	11:133297188	AP001979.2--OPCML	BS_EBMCTR80	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr11:0.25Mb]],deletion	AP001979.2	NA	OPCML	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
X:96965207	9:84867243	DIAPH2--NTRK2	BS_EBMCTR80	ARRIBA	in-frame	13	0	high	[INTERCHROMOSOMAL[chrX--chr9]],translocation	DIAPH2	NA	NTRK2	NA	NA	Oncogene, Kinase	NA	NA	NA
X:96965207	9:84861040	DIAPH2--NTRK2	BS_EBMCTR80	ARRIBA	in-frame	6	0	medium	[INTERCHROMOSOMAL[chrX--chr9]],translocation	DIAPH2	NA	NTRK2	NA	NA	Oncogene, Kinase	NA	NA	NA
X:96965207	9:84867243	DIAPH2--NTRK2	BS_EBMCTR80	STARFUSION	in-frame	14	0	NA	[INTERCHROMOSOMAL[chrX--chr9]]	DIAPH2	NA	NTRK2	NA	NA	Oncogene, Kinase	NA	NA	NA
9:84752085	X:97072941	NTRK2--DIAPH2	BS_EBMCTR80	ARRIBA	in-frame	28	5	high	[INTERCHROMOSOMAL[chr9--chrX]],translocation	NTRK2	NA	DIAPH2	NA	Oncogene, Kinase	NA	NA	NA	NA
9:84752085	X:97072941	NTRK2--DIAPH2	BS_EBMCTR80	STARFUSION	in-frame	30	7	NA	[INTERCHROMOSOMAL[chr9--chrX]]	NTRK2	NA	DIAPH2	NA	Oncogene, Kinase	NA	NA	NA	NA
15:76932466	12:13196810	RCN2--EMP1	BS_EBMCTR80	ARRIBA	frameshift	2	0	medium	[INTERCHROMOSOMAL[chr15--chr12]],translocation	RCN2	NA	EMP1	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EF775B3K	ARRIBA	other	12	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EF775B3K	ARRIBA	other	12	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
5:88498673	5:88508354	AC091826.2--LINC00461	BS_EF775B3K	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr5:0.01Mb],LOCAL_REARRANGEMENT:-:[8849]],duplication	AC091826.2	NA	LINC00461	NA	NA	NA	NA	NA	NA
7:137463489	7:137609609	DGKI--DGKI	BS_EF775B3K	ARRIBA	frameshift	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.47Mb]],duplication/non-canonical_splicing	DGKI	NA	DGKI	NA	NA	NA	NA	NA	NA
3:55683794	3:55992250	ERC2--ERC2	BS_EF775B3K	ARRIBA	in-frame	18	1	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	ERC2	NA	ERC2	NA	Oncogene	Oncogene	NA	NA	NA
4:143466225	9:90867131	GAB1--SYK	BS_EF775B3K	ARRIBA	in-frame	2	0	medium	[INTERCHROMOSOMAL[chr4--chr9]],translocation	GAB1	NA	SYK	NA	Oncogene	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase	NA	NA	NA
4:143466225	9:90874204	GAB1--SYK	BS_EF775B3K	ARRIBA	in-frame	2	0	medium	[INTERCHROMOSOMAL[chr4--chr9]],translocation	GAB1	NA	SYK	NA	Oncogene	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase	NA	NA	NA
11:20960560	11:20937786	NELL1--NELL1	BS_EF775B3K	ARRIBA	in-frame	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr11:0.91Mb]],duplication/non-canonical_splicing	NELL1	NA	NELL1	NA	NA	NA	NA	NA	NA
12:106654351	12:106608797	RFX4--RFX4	BS_EF775B3K	ARRIBA	frameshift	5	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.18Mb]],duplication/non-canonical_splicing	RFX4	NA	RFX4	NA	TranscriptionFactor	TranscriptionFactor	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_EF775B3K	ARRIBA	other	12	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
12:109447067	12:109460805	AC007570.1--KCTD10	BS_EFE4YEK3	ARRIBA	other	5	0	medium	[INTRACHROMOSOMAL[chr12:0.00Mb],LOCAL_REARRANGEMENT:-:[1159]],duplication	AC007570.1	NA	KCTD10	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EFE4YEK3	ARRIBA	other	6	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EFE4YEK3	ARRIBA	other	6	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
3:117997182	3:117508051	AC092691.1--LSAMP(368662)/RNU6-1200P(36154)	BS_EFE4YEK3	ARRIBA	other	1	0	low	[],deletion	AC092691.1	NA	LSAMP	RNU6-1200P	NA	TumorSuppressorGene	NA	NA	NA
10:4889923	10:4830675	AKR1C6P--AKR1E2	BS_EFE4YEK3	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr10:0.02Mb],LOCAL_INVERSION:-:+:[23839]],duplication/3'-3'	AKR1C6P	NA	AKR1E2	NA	NA	NA	NA	NA	NA
10:79671133	10:87449476	AL132656.2--MINPP1	BS_EFE4YEK3	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr10:7.83Mb]],deletion	AL132656.2	NA	MINPP1	NA	NA	NA	NA	NA	NA
9:2904777	9:3014177	ATP5HP2(3973)/CARM1P1(2296)--CARM1P1	BS_EFE4YEK3	ARRIBA	other	1	0	low	[],duplication	ATP5HP2	CARM1P1	CARM1P1	NA	NA	NA	NA	NA	NA
9:100578551	9:100576516	CAVIN4--MSANTD3-TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	2	0	medium	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100585927	9:100572518	CAVIN4--MSANTD3-TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100578551	9:100561397	CAVIN4--MSANTD3-TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100578551	9:100576516	CAVIN4--TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	2	0	medium	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
9:100585927	9:100572518	CAVIN4--TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
9:100578551	9:100561397	CAVIN4--TMEFF1	BS_EFE4YEK3	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
8:131970643	8:131944745	EFR3A--EFR3A	BS_EFE4YEK3	ARRIBA	frameshift	3	0	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr8:0.11Mb]],duplication/non-canonical_splicing	EFR3A	NA	EFR3A	NA	NA	NA	NA	NA	NA
6:65490594	6:65495993	EYS--EYS	BS_EFE4YEK3	ARRIBA	frameshift	44	3	low	[SELFIE,[\ChimerKB\],INTRACHROMOSOMAL[chr6:1.99Mb]],duplication/non-canonical_splicing	EYS	NA	EYS	NA	NA	NA	NA	NA	NA
5:162104026	5:162093828	GABRG2--GABRG2	BS_EFE4YEK3	ARRIBA	frameshift	6	0	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr5:0.16Mb]],duplication/non-canonical_splicing	GABRG2	NA	GABRG2	NA	NA	NA	NA	NA	NA
11:33646036	11:33541802	KIAA1549L--AL133399.1(90859)/KIAA1549L(270)	BS_EFE4YEK3	ARRIBA	frameshift	1	2	medium	[],duplication	KIAA1549L	NA	AL133399.1	KIAA1549L	NA	NA	NA	NA	NA
1:219218712	1:219210532	LYPLAL1(5847)/AL360093.1(3536)--LYPLAL1	BS_EFE4YEK3	ARRIBA	other	1	0	low	[],duplication	LYPLAL1	AL360093.1	LYPLAL1	NA	NA	NA	NA	NA	NA
6:61606290	6:61697253	MTRNR2L9(31888)/AL049544.1(23943)--KHDRBS2	BS_EFE4YEK3	ARRIBA	other	8	0	medium	[],duplication	MTRNR2L9	AL049544.1	KHDRBS2	NA	NA	NA	NA	NA	NA
13:108910150	13:108883059	MYO16--MYO16	BS_EFE4YEK3	ARRIBA	frameshift	14	4	low	[SELFIE,INTRACHROMOSOMAL[chr13:0.61Mb]],duplication/non-canonical_splicing	MYO16	NA	MYO16	NA	NA	NA	NA	NA	NA
6:165379194	6:165388453	PDE10A--PDE10A	BS_EFE4YEK3	ARRIBA	frameshift	6	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.66Mb]],duplication/non-canonical_splicing	PDE10A	NA	PDE10A	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_EFE4YEK3	ARRIBA	other	6	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
8:52212079	8:52230077	ST18--ST18	BS_EFE4YEK3	ARRIBA	frameshift	17	1	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.35Mb]],duplication/non-canonical_splicing	ST18	NA	ST18	NA	TranscriptionFactor	TranscriptionFactor	NA	NA	NA
7:1233695	7:1010143	UNCX--C7orf50	BS_EFE4YEK3	ARRIBA	in-frame	2	1	low	[INTRACHROMOSOMAL[chr7:0.09Mb],LOCAL_INVERSION:+:-:[94647]],inversion	UNCX	NA	C7orf50	NA	TranscriptionFactor	NA	NA	NA	NA
1:216321883	1:216327654	USH2A--USH2A	BS_EFE4YEK3	ARRIBA	frameshift	8	0	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.80Mb]],duplication/non-canonical_splicing	USH2A	NA	USH2A	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EFEZB0ZH	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EFEZB0ZH	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
8:4419953	3:47928350	CSMD1--MAP4	BS_EFEZB0ZH	ARRIBA	in-frame	1	0	low	[INTERCHROMOSOMAL[chr8--chr3]],translocation	CSMD1	NA	MAP4	NA	TumorSuppressorGene	Oncogene	NA	NA	NA
7:138867975	7:140787584	KIAA1549--BRAF	BS_EFEZB0ZH	ARRIBA	in-frame	6	1	high	[Cosmic,ChimerPub,ChimerSeq,chimerdb_pubmed,ChimerKB,INTRACHROMOSOMAL[chr7:1.74Mb]],duplication	KIAA1549	NA	BRAF	NA	CosmicCensus, Oncogene	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	TCGAFusion
20:19960811	20:19799622	RIN2--AL121761.1	BS_EFEZB0ZH	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr20:0.08Mb],LOCAL_REARRANGEMENT:+:[76846]],duplication	RIN2	NA	AL121761.1	NA	NA	NA	NA	NA	NA
20:19935199	20:19799622	RIN2--AL121761.1	BS_EFEZB0ZH	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr20:0.08Mb],LOCAL_REARRANGEMENT:+:[76846]],duplication	RIN2	NA	AL121761.1	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_EFEZB0ZH	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EHVYJAVA	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EHVYJAVA	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
19:29391421	19:29393075	AC011474.1--AC011474.1	BS_EHVYJAVA	ARRIBA	other	8	0	low	[SELFIE,INTRACHROMOSOMAL[chr19:0.24Mb]],duplication/non-canonical_splicing	AC011474.1	NA	AC011474.1	NA	NA	NA	NA	NA	NA
10:4929717	10:4830675	AKR1C6P--AKR1E2	BS_EHVYJAVA	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr10:0.02Mb],LOCAL_INVERSION:-:+:[23839]],duplication/3'-3'	AKR1C6P	NA	AKR1E2	NA	NA	NA	NA	NA	NA
11:57152640	11:57189151	AP001521.2(96508)/LRRC55(29107)--LRRC55	BS_EHVYJAVA	ARRIBA	other	10	1	medium	[],duplication	AP001521.2	LRRC55	LRRC55	NA	NA	NA	NA	NA	NA
7:33642356	7:33533954	BBS9(36288)/AC008080.1(83625)--BBS9	BS_EHVYJAVA	ARRIBA	other	1	0	low	[],duplication	BBS9	AC008080.1	BBS9	NA	NA	NA	NA	NA	NA
5:61755944	5:61748602	C5orf64(4181)/AC026434.2(76003)--C5orf64	BS_EHVYJAVA	ARRIBA	other	3	0	low	[],duplication	C5orf64	AC026434.2	C5orf64	NA	NA	NA	NA	NA	NA
1:181580776	1:181577766	CACNA1E--CACNA1E	BS_EHVYJAVA	ARRIBA	frameshift	7	0	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.39Mb]],duplication/non-canonical_splicing	CACNA1E	NA	CACNA1E	NA	NA	NA	NA	NA	NA
7:29181290	7:29186547	CPVL--CPVL	BS_EHVYJAVA	ARRIBA	other	7	1	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.20Mb]],duplication/non-canonical_splicing	CPVL	NA	CPVL	NA	NA	NA	NA	NA	NA
7:137521866	7:137623554	DGKI--DGKI	BS_EHVYJAVA	ARRIBA	frameshift	7	0	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.47Mb]],duplication/non-canonical_splicing	DGKI	NA	DGKI	NA	NA	NA	NA	NA	NA
8:138151194	8:138153216	FAM135B--FAM135B	BS_EHVYJAVA	ARRIBA	frameshift	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.37Mb]],duplication/non-canonical_splicing	FAM135B	NA	FAM135B	NA	CosmicCensus	CosmicCensus	NA	NA	NA
6:146399699	6:146398769	GRM1--GRM1	BS_EHVYJAVA	ARRIBA	frameshift	6	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.41Mb]],duplication/non-canonical_splicing	GRM1	NA	GRM1	NA	NA	NA	NA	NA	NA
6:34056544	6:34062028	GRM4--GRM4	BS_EHVYJAVA	ARRIBA	in-frame	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.14Mb]],duplication/non-canonical_splicing	GRM4	NA	GRM4	NA	NA	NA	NA	NA	NA
7:43501322	7:43468920	HECW1--HECW1	BS_EHVYJAVA	ARRIBA	frameshift	6	0	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr7:0.45Mb]],duplication/non-canonical_splicing	HECW1	NA	HECW1	NA	NA	NA	NA	NA	NA
15:34488963	15:34490796	HNRNPLP2--HNRNPLP2(225)/FSCN1P1(3624)	BS_EHVYJAVA	ARRIBA	other	14	0	medium	[],duplication	HNRNPLP2	NA	HNRNPLP2	FSCN1P1	NA	NA	NA	NA	NA
6:118813102	6:118856545	MCM9--MCM9	BS_EHVYJAVA	ARRIBA	in-frame	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.12Mb]],duplication	MCM9	NA	MCM9	NA	TumorSuppressorGene	TumorSuppressorGene	NA	NA	NA
21:45789671	21:45788298	PCBP3--PCBP3	BS_EHVYJAVA	ARRIBA	other	3	0	medium	[SELFIE,INTRACHROMOSOMAL[chr21:0.30Mb]],duplication	PCBP3	NA	PCBP3	NA	NA	NA	NA	NA	NA
12:106654351	12:106608797	RFX4--RFX4	BS_EHVYJAVA	ARRIBA	frameshift	7	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.18Mb]],duplication/non-canonical_splicing	RFX4	NA	RFX4	NA	TranscriptionFactor	TranscriptionFactor	NA	NA	NA
13:78274337	13:78188309	RNF219-AS1--RNF219-AS1	BS_EHVYJAVA	ARRIBA	other	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr13:0.70Mb]],duplication/non-canonical_splicing	RNF219-AS1	NA	RNF219-AS1	NA	NA	NA	NA	NA	NA
14:20343075	14:49862667	RPPH1--RN7SL2	BS_EHVYJAVA	STARFUSION	other	3	13	NA	[INTRACHROMOSOMAL[chr14:29.52Mb]]	RPPH1	NA	RN7SL2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_EHVYJAVA	ARRIBA	other	10	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
14:61996542	14:61970132	SYT16--SYT16	BS_EHVYJAVA	ARRIBA	in-frame	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr14:0.30Mb]],duplication/non-canonical_splicing	SYT16	NA	SYT16	NA	NA	NA	NA	NA	NA
15:76137895	15:76112018	TMEM266--TMEM266	BS_EHVYJAVA	ARRIBA	frameshift	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr15:0.17Mb]],duplication/non-canonical_splicing	TMEM266	NA	TMEM266	NA	NA	NA	NA	NA	NA
9:70681506	9:70784279	TRPM3--TRPM3	BS_EHVYJAVA	ARRIBA	in-frame	15	0	low	[SELFIE,INTRACHROMOSOMAL[chr9:0.92Mb]],duplication/non-canonical_splicing	TRPM3	NA	TRPM3	NA	NA	NA	NA	NA	NA
2:209896413	2:209877954	UNC80--UNC80	BS_EHVYJAVA	ARRIBA	in-frame	8	0	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.23Mb]],duplication/non-canonical_splicing	UNC80	NA	UNC80	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EJ9JKM1C	ARRIBA	other	33	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EJ9JKM1C	ARRIBA	other	33	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
16:4113750	X:15782485	ADCY9--CA5B	BS_EJ9JKM1C	ARRIBA	frameshift	32	1	high	[INTERCHROMOSOMAL[chr16--chrX]],translocation	ADCY9	NA	CA5B	NA	NA	NA	NA	NA	NA
16:4113750	X:15782485	ADCY9--CA5B	BS_EJ9JKM1C	STARFUSION	frameshift	33	1	NA	[INTERCHROMOSOMAL[chr16--chrX]]	ADCY9	NA	CA5B	NA	NA	NA	NA	NA	NA
13:87810484	13:87615755	AL445647.1--MIR4500HG	BS_EJ9JKM1C	STARFUSION	other	24	3	NA	[INTRACHROMOSOMAL[chr13:0.14Mb]]	AL445647.1	NA	MIR4500HG	NA	NA	NA	NA	NA	NA
2:28244862	10:91687289	BABAM2--GAPDHP28(19507)/FAF2P1(78610)	BS_EJ9JKM1C	ARRIBA	frameshift	3	0	high	[],translocation	BABAM2	NA	GAPDHP28	FAF2P1	NA	NA	NA	NA	NA
9:123878951	16:4262701	DENND1A--TFAP4	BS_EJ9JKM1C	ARRIBA	frameshift	2	0	low	[INTERCHROMOSOMAL[chr9--chr16]],translocation	DENND1A	NA	TFAP4	NA	NA	Oncogene, TranscriptionFactor	NA	NA	NA
9:128886121	9:123792630	LRRC8A--DENND1A	BS_EJ9JKM1C	ARRIBA	other	12	1	high	[INTRACHROMOSOMAL[chr9:4.95Mb]],inversion	LRRC8A	NA	DENND1A	NA	NA	NA	NA	NA	NA
9:128886121	9:123792630	LRRC8A--DENND1A	BS_EJ9JKM1C	STARFUSION	other	12	1	NA	[INTRACHROMOSOMAL[chr9:4.95Mb]]	LRRC8A	NA	DENND1A	NA	NA	NA	NA	NA	NA
X:14897238	22:24054873	MOSPD2--CABIN1	BS_EJ9JKM1C	ARRIBA	frameshift	6	1	high	[INTERCHROMOSOMAL[chrX--chr22]],translocation	MOSPD2	NA	CABIN1	NA	NA	NA	NA	NA	NA
9:124733308	9:123820381	NR6A1--DENND1A	BS_EJ9JKM1C	ARRIBA	frameshift	22	5	high	[INTRACHROMOSOMAL[chr9:0.59Mb]],inversion/5'-5'	NR6A1	NA	DENND1A	NA	TranscriptionFactor	NA	NA	NA	NA
14:63539529	14:38385361	PPP2R5E--AL161751.1(73431)/AL357094.1(219894)	BS_EJ9JKM1C	ARRIBA	frameshift	2	0	medium	[],inversion	PPP2R5E	NA	AL161751.1	AL357094.1	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_EJ9JKM1C	ARRIBA	other	33	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
16:4303311	9:129022423	TFAP4(30236)/GLIS2(11450)--SH3GLB2	BS_EJ9JKM1C	ARRIBA	other	1	1	high	[],translocation	TFAP4	GLIS2	SH3GLB2	NA	Oncogene, TranscriptionFactor	NA	TranscriptionFactor	NA	NA
9:132406790	9:129006239	TTF1--NUP188	BS_EJ9JKM1C	ARRIBA	other	3	1	high	[INTRACHROMOSOMAL[chr9:3.37Mb]],inversion	TTF1	NA	NUP188	NA	TumorSuppressorGene, TranscriptionFactor	NA	NA	NA	NA
2:233493425	17:7415938	USP40--NLGN2	BS_EJ9JKM1C	ARRIBA	frameshift	1	1	high	[INTERCHROMOSOMAL[chr2--chr17]],translocation	USP40	NA	NLGN2	NA	NA	NA	NA	NA	NA
10:112668998	10:124144752	VTI1A--CHST15(51145)/OAT(252551)	BS_EJ9JKM1C	ARRIBA	frameshift	3	0	high	[],deletion	VTI1A	NA	CHST15	OAT	CosmicCensus, Oncogene	NA	NA	NA	NA
19:2841575	19:2832303	ZNF555--ZNF554	BS_EJ9JKM1C	ARRIBA	frameshift	3	0	medium	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr19:0.01Mb],LOCAL_REARRANGEMENT:+:[5662]],duplication	ZNF555	NA	ZNF554	NA	TranscriptionFactor	TranscriptionFactor	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_EK5PCKY0	ARRIBA	other	2	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_EK5PCKY0	ARRIBA	other	2	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
3:167234890	3:167282495	AC092965.1(168570)/ZBBX(5397)--ZBBX	BS_EK5PCKY0	ARRIBA	other	5	2	high	[],duplication	AC092965.1	ZBBX	ZBBX	NA	NA	NA	NA	NA	NA
3:167099408	3:167282495	AC092965.1(33088)/ZBBX(140879)--ZBBX	BS_EK5PCKY0	ARRIBA	other	2	0	low	[],duplication	AC092965.1	ZBBX	ZBBX	NA	NA	NA	NA	NA	NA
10:27034796	10:27044190	ANKRD26--ANKRD26	BS_EK5PCKY0	ARRIBA	frameshift	6	1	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr10:0.11Mb]],duplication/non-canonical_splicing	ANKRD26	NA	ANKRD26	NA	NA	NA	NA	NA	NA
11:63765807	11:65662205	C11orf95--RELA	BS_EK5PCKY0	ARRIBA	in-frame	35	1	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, TranscriptionFactor	NA	NA	NA
