Cancer	sampleId	Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Evalue	Junction_A	Junction_B	tier	frame	id	gene_A_start	gene_A_end	gene_B_start	gene_B_end	phos_A	phos_B	ubiq_A	ubiq_B	WGS	centrality
UCEC	AX.A3G4.01A	LUC7L3	ACSF2	17	17	1	1	2	1	1	2	48797192	48551863	tier3	In-frame	9684	48796905	48834076	48503519	48552206	1	0	0	0	NA	0.32814
STAD	VQ.A92D.01A	LUC7L3	CACNA1G	17	17	1	1	3	51	47	0.57	48819092	48652904	tier1	In-frame	9686	48796905	48834076	48638429	48704835	0	1	0	0	NA	0.34458
UCS	N8.A56S.01A	LUC7L3	CEP250	17	20	1	1	17	10	9	2.1	48824063	34078463	tier1	Out-of-frame	9687	48796905	48834076	34042985	34099804	0	0	0	0	NA	0.34586
BRCA	E2.A1LB.01A	LUC7L3	IKZF3	17	17	1	-1	39	19	17	0.7	48797192	37949186	tier1	Out-of-frame	9688	48796905	48834076	37913968	38020441	1	0	0	1	NA	0.3724
UCS	N8.A4PM.01A	LUC7L3	MYCBPAP	17	17	1	1	7	3	3	0.8	48797192	48593931	tier1	Out-of-frame	9689	48796905	48834076	48585745	48608862	1	0	0	0	NA	0.34445
STAD	BR.8060.01A	LUZP1	IL28RA	1	1	-1	-1	2	4	2	0.12	23495259	24496091	tier4	5UTR-CDS	9690	23410516	23504301	24480647	24514449	0	0	0	0	NA	0.34609
BLCA	CU.A0YO.01A	LUZP1	NEDD4L	1	18	-1	1	4	1	1	0.018	23417683	55919233	tier3	In-frame	9691	23410516	23504301	55711619	56068772	0	0	0	0	NA	0.37834
LGG	TM.A84J.01A	LUZP1	SORL1	1	11	-1	1	6	13	12	0.28	23495259	121340716	tier1	5UTR-CDS	9692	23410516	23504301	121322912	121504387	0	1	0	0	NA	0.36311
HNSC	F7.A623.01A	LY6E	LY6D	8	8	1	-1	2	2	1	0.49	144103826	143868008	tier3	3UTR-5UTR	9693	144099399	144105249	142784880	142786592	0	0	0	0	NA	0.35544
UVM	VD.AA8O.01A	LY6E	PLEKHB2	8	2	1	1	2	4	2	0.22	144103826	131876464	tier3	3UTR-5UTR	9694	144099399	144105249	131862420	132111282	0	0	0	0	NA	0.36085
HNSC	CN.6997.01A	LYN	NTRK3	8	15	1	-1	95	77	69	0.051	56866543	88576276	tier1	In-frame	9696	56792372	56923939	88402982	88799978	0	0	0	0	NA	0.39375
COAD	A6.5666.01A	LYN	VPS13B	8	8	1	1	6	2	2	0.44	56792662	100513915	tier1	5UTR-CDS	9697	56792372	56923939	100025494	100889808	0	0	0	0	NA	0.38916
HNSC	BA.6872.01A	LYPD1	NCKAP5	2	2	-1	-1	6	5	5	0.51	133425973	133489624	tier2	In-frame	9698	133402337	133429152	133429374	134326034	0	0	0	0	validated	0.33545
PRAD	EJ.7782.01A	LYPD6B	LRBA	2	4	1	-1	13	19	11	2	149975677	151719294	tier1	5UTR-CDS	9700	149894621	150071776	151185594	151936879	0	0	0	0	NA	0.35319
LUSC	92.8064.01A	LYPD6B	MBD5	2	2	1	1	2	6	6	0.14	149895315	149225910	tier2	5UTR-CDS	9701	149894621	150071776	148778580	149275805	0	0	0	0	non-validated	0.34619
LIHC	CC.A8HV.01A	LYRM4	EYS	6	6	-1	-1	2	2	1	1.9	5260881	66045039	tier3	Out-of-frame	9702	5108653	5261172	64429876	66417118	0	1	0	0	NA	0.33705
SKCM	D3.A2J9.06A	LYRM4	FARS2	6	6	-1	1	73	28	26	0.028	5260881	5771524	tier1	In-frame	9703	5108653	5261172	5261584	5771816	0	0	0	0	NA	0.34592
CESC	LP.A5U2.01A	LYRM4	FARS2	6	6	-1	1	2	4	4	0.028	5216851	5613402	tier4	In-frame	9704	5108653	5261172	5261584	5771816	0	0	0	0	NA	0.34592
PRAD	J9.A52C.01A	LYSMD1	MFSD4	1	1	-1	1	2	2	2	0.36	151138223	205566908	tier4	Out-of-frame	9705	151159748	151165948	205568885	205602918	1	0	0	0	NA	0.34044
LIHC	NI.A8LF.01A	LYSMD2	MYO5A	15	15	-1	-1	4	2	2	0.063	52029547	52613706	tier1	In-frame	9706	52015208	52043650	52599480	52821247	0	0	0	0	NA	0.3693
LUSC	63.A5MR.01A	LYSMD2	SCG3	15	15	-1	1	5	6	4	0.21	52029547	52011605	tier1	Out-of-frame	9707	52015208	52043650	51681353	51721031	0	0	0	0	NA	0.34064
BRCA	AN.A049.01A	LYSMD2	SLC24A5	15	15	-1	1	3	1	1	100	52029547	48426455	tier2	Out-of-frame	9708	52015208	52043650	48413169	48434869	0	0	0	0	NA	0.3381
HNSC	CQ.6228.01A	LYST	DISC1	1	1	-1	1	5	5	3	0.99	235880012	231930988	tier1	Out-of-frame	9709	235824341	236046940	231762561	232177018	0	0	0	0	validated	0.3695
LGG	TM.A84I.01A	LYST	NARS2	1	11	-1	-1	9	44	41	1.2	236030143	78177059	tier1	5UTR-CDS	9710	235824341	236046940	78147007	78285919	0	0	0	0	NA	0.36623
LUAD	55.7576.01A	LYST	NID1	1	1	-1	-1	5	2	1	0.81	235933460	236148805	tier3	In-frame	9711	235824341	236046940	236139130	236228462	0	0	0	0	NA	0.37616
SKCM	EE.A2MS.06A	LYST	NID1	1	1	-1	-1	64	30	26	0.81	235950500	236212289	tier1	Out-of-frame	9712	235824341	236046940	236139130	236228462	0	1	0	0	NA	0.37616
SKCM	D3.A1Q3.06A	LYST	SLC3A2	1	11	-1	1	2	49	33	0.33	236046487	62643221	tier4	5UTR-CDS	9713	235824341	236046940	62623518	62656352	0	1	0	1	NA	0.37063
LAML	AB.2826.03A	LYZ	ANXA1	12	9	1	1	2	24	13	1.5	69748014	75772570	tier3	3UTR-5UTR	9714	69742121	69748014	75766673	75785309	0	0	0	0	NA	0.37554
LAML	AB.2837.03A	LYZ	ANXA1	12	9	1	1	2	89	53	1.5	69748014	75772570	tier3	3UTR-5UTR	9715	69742121	69748014	75766673	75785309	0	0	0	0	NA	0.37554
LUSC	90.A4EE.01A	LYZ	BIRC6	12	2	1	1	2	28	26	0.02	69748014	32820101	tier4	3UTR-CDS	9716	69742121	69748014	32582096	32843966	0	0	0	0	NA	0.3719
LAML	AB.2835.03A	LYZ	DDX21	12	10	1	1	3	124	81	0.26	69748014	70723858	tier1	NA	9717	69742121	69748014	70715884	70744829	0	0	0	0	NA	0.36884
COAD	G4.6299.01A	LYZ	DDX21	12	10	1	1	2	127	108	0.26	69748014	70723858	tier4	NA	9718	69742121	69748014	70715884	70744829	0	0	0	0	NA	0.36884
COAD	F4.6570.01A	LYZ	NDUFV1	12	11	1	1	2	7	6	100	69748014	67375697	tier4	NA	9719	69742121	69748014	67374323	67380006	0	0	0	0	NA	0.35855
LAML	AB.2873.03A	LYZ	STAT6	12	12	1	-1	2	84	49	0.76	69748014	57496773	tier3	NA	9721	69742121	69748014	57489191	57525922	0	0	0	0	NA	0.37428
LUAD	97.7552.01A	LYZ	SUPT16H	12	14	1	-1	2	19	4	0.006	69748014	21829491	tier4	3UTR-CDS	9722	69742121	69748014	21819631	21852425	0	0	0	0	NA	0.37457
LAML	AB.2954.03A	LYZ	TYK2	12	19	1	-1	2	37	20	2.9	69748014	10491352	tier3	3UTR-5UTR	9723	69742121	69748014	10461209	10491352	0	0	0	0	NA	0.37643
HNSC	CV.7235.01A	MACF1	AKIRIN1	1	1	1	1	23	17	17	0.054	39571389	39463843	tier1	NA	9724	39546988	39952789	39456895	39471731	0	0	0	0	NA	0.36765
LIHC	DD.A11C.01A	MACF1	ALB	1	4	1	1	2	1	1	1.9	39916883	74270034	tier2	CDS-5UTR	9725	39546988	39952789	74262831	74287129	0	0	0	0	NA	0.37212
THCA	DE.A0Y2.01A	MACF1	BRAF	1	7	1	-1	163	167	154	2.1	39896580	140487384	tier1	In-frame	9726	39546988	39952789	140424943	140624564	0	0	0	0	NA	0.39015
BRCA	E2.A10A.01A	MACF1	FAF1	1	1	1	-1	36	28	28	1	39893286	51061888	tier1	In-frame	9727	39546988	39952789	50905150	51425935	0	0	0	0	NA	0.37395
STAD	F1.A72C.01A	MACF1	FOXJ3	1	1	1	-1	5	78	57	0.37	39910507	42664901	tier1	In-frame	9728	39546988	39952789	42642210	42801548	0	0	0	0	NA	0.37062
BRCA	OK.A5Q2.01A	MACF1	GRIK3	1	1	1	-1	3	1	1	2.2	39696915	37307540	tier4	In-frame	9729	39546988	39952789	37261128	37499730	1	0	0	0	NA	0.37198
UCEC	EY.A4KR.01A	MACF1	HDAC5	1	17	1	-1	2	3	2	0.11	39723700	42195072	tier2	CDS-5UTR	9730	39546988	39952789	42154121	42201014	1	0	0	0	NA	0.38177
BRCA	OL.A5RZ.01A	MACF1	INADL	1	1	1	1	8	14	13	0.17	39571389	62613956	tier1	NA	9731	39546988	39952789	62208149	62629592	0	0	0	0	NA	0.37724
LUSC	33.4587.01A	MACF1	INPP5B	1	1	1	-1	77	44	36	1.1	39920769	38352676	tier1	In-frame	9732	39546988	39952789	37860697	37947057	0	0	0	0	NA	0.36947
LUSC	33.4587.01A	MACF1	RHBDL2	1	1	1	-1	36	19	14	0.51	39571389	39385009	tier1	NA	9734	39546988	39952789	39351479	39407471	0	0	0	0	NA	0.36911
SARC	X6.A8C3.01A	MACF1	SHISA6	1	17	1	1	8	5	5	0.047	39723700	11282731	tier1	Out-of-frame	9735	39546988	39952789	11241263	11564063	1	0	0	0	NA	0.36525
SKCM	ER.A19T.06A	MACROD1	BAD	11	11	-1	-1	38	20	20	0.049	63918711	64039275	tier1	In-frame	9736	63766030	63933578	64037302	64052176	0	0	0	0	validated	0.36796
HNSC	T2.A6WZ.01A	MACROD1	BAD	11	11	-1	-1	10	10	7	0.049	63918711	64051848	tier1	CDS-5UTR	9737	63766030	63933578	64037302	64052176	0	0	0	0	NA	0.36796
BLCA	BT.A20W.01A	MACROD1	NRXN2	11	11	-1	-1	3	3	3	0.98	63918711	64375554	tier1	In-frame	9738	63766030	63933578	64373646	64490660	0	0	0	0	NA	0.36823
UVM	VD.A8KO.01A	MACROD1	PARP1	11	1	-1	-1	4	4	4	0.17	63918711	226590080	tier1	Out-of-frame	9739	63766030	63933578	224102741	226595780	0	1	0	1	NA	0.37647
BRCA	AC.A4ZE.01A	MACROD1	PITPNM1	11	11	-1	-1	167	133	126	0.63	63918711	67269557	tier1	In-frame	9740	63766030	63933578	67259239	67273734	0	1	0	0	NA	0.37144
HNSC	CN.A49C.01A	MACROD1	TCN1	11	11	-1	-1	361	226	207	100	63918711	59622308	tier1	In-frame	9741	63766030	63933578	59852800	59866575	0	0	0	0	NA	0.35073
BRCA	A7.A13D.01A	MACROD1	TRPT1	11	11	-1	-1	4	3	2	100	63918711	63991813	tier1	In-frame	9742	63766030	63933578	63991271	63993726	0	0	0	0	non-validated	0.35286
UCEC	B5.A1MS.01B	MACROD2	DGAT2	20	11	1	1	3	1	1	0.44	15210707	75495663	tier2	Out-of-frame	9744	13976015	16033842	75470557	75512579	0	0	0	0	NA	0.34696
SKCM	EE.A29D.06A	MACROD2	SPTLC3	20	20	1	1	5	2	2	0.056	14066374	13090759	tier1	In-frame	9745	13976015	16033842	12989627	13147411	0	0	0	0	NA	0.34696
PCPG	QT.A5XJ.01A	MACROD2	SPTLC3	20	20	1	1	12	2	2	0.056	14474154	13071731	tier2	In-frame	9746	13976015	16033842	12989627	13147411	0	0	0	0	NA	0.34696
LUAD	64.1681.01A	MACROD2	TASP1	20	20	1	-1	2	3	3	1.5	15480492	13610799	tier2	CDS-5UTR	9747	13976015	16033842	13246709	13619587	0	0	0	0	NA	0.35174
LUSC	22.A5C4.01A	MACROD2	UBOX5	20	20	1	-1	4	1	1	0.068	13983050	3104052	tier2	CDS-5UTR	9748	13976015	16033842	3088219	3140842	0	0	0	0	NA	0.35862
SARC	SI.AA8B.01A	MAD1L1	RPA3	7	7	-1	-1	3	1	1	2.6	2054137	7680806	tier2	CDS-5UTR	9749	1855383	2272878	7636518	7718607	0	0	0	0	NA	0.37075
HNSC	DQ.7591.01A	MAD1L1	SERGEF	7	11	-1	-1	15	22	16	0.047	2188787	17809960	tier1	Out-of-frame	9750	1855383	2272878	17809595	18034709	0	0	0	0	NA	0.37187
ACC	OR.A5J7.01A	MADD	ASIP	11	20	1	1	9	3	2	0.43	47346128	32848171	tier1	CDS-5UTR	9751	47290712	47357945	32848171	32857150	0	0	0	0	NA	0.35108
CESC	C5.A7X5.01A	MADD	DDB2	11	11	1	1	7	10	9	1.4	47317606	47254365	tier1	In-frame	9752	47290712	47357945	47236493	47260767	0	0	0	0	NA	0.35701
BLCA	FD.A43N.01A	MADD	PIK3C2A	11	11	1	-1	3	2	2	0.51	47333393	17158172	tier1	In-frame	9753	47290712	47357945	17099277	17229530	0	0	0	0	NA	0.36026
LAML	AB.2811.03B	MAEA	CTBP1	4	4	1	-1	4	1	1	4.1	1316291	1235307	tier3	CDS-5UTR	9754	1283639	1333935	1205236	1243741	0	0	0	0	NA	0.37325
COAD	D5.6531.01A	MAEA	CTBP1	4	4	1	-1	2	1	1	4.1	1283770	1235307	tier3	CDS-5UTR	9755	1283639	1333935	1205236	1243741	0	0	1	0	NA	0.37325
BRCA	EW.A3U0.01A	MAEA	TMEM71	4	8	1	-1	22	15	13	100	1309388	133697351	tier1	NA	9756	1283639	1333935	133697253	133772958	0	0	0	0	non-validated	0.34291
PRAD	YL.A8SB.01A	MAF1	TMEM205	8	19	1	-1	22	17	13	0.28	145161367	11456304	tier1	CDS-5UTR	9757	144104499	144107611	11453452	11456981	0	0	0	0	NA	0.3563
SARC	QQ.A5VA.01A	MAFF	OSBP2	22	22	1	1	9	17	15	0.38	38598219	31266416	tier1	5UTR-CDS	9758	38597889	38612518	31089769	31303811	0	0	0	0	NA	0.36542
ESCA	L5.A4OS.01A	MAFF	RCOR1	22	14	1	1	3	21	20	0.51	38598219	103148232	tier1	5UTR-CDS	9759	38597889	38612518	103058998	103196891	0	1	0	0	NA	0.36769
UCEC	FI.A3PX.01A	MAFF	STK16	22	2	1	1	7	8	8	0.88	38598219	220110618	tier1	5UTR-5UTR	9760	38597889	38612518	219245455	219250337	0	0	0	0	NA	0.3741
ESCA	R6.A6Y0.01B	MAFK	KCTD5	7	16	1	1	3	6	4	0.084	1570534	2752354	tier1	5UTR-CDS	9761	1570350	1582679	2732498	2759031	0	0	0	0	NA	0.3596
LUSC	22.A5C4.01A	MAGED1	CYP4F2	X	19	1	-1	19	12	9	0.24	51643392	16003392	tier1	CDS-5UTR	9762	51546103	51645453	15878023	15898120	0	0	0	0	NA	0.36102
BRCA	E9.A1R6.01A	MAGED2	NDUFV1	X	11	1	1	2	10	10	100	54842445	67375697	tier3	NA	9764	54834032	54842445	67374323	67380006	0	0	0	0	NA	0.35701
PRAD	HC.7745.01A	MAGED2	SCAMP4	X	19	1	1	2	10	7	2.4	54842445	1917693	tier3	3UTR-CDS	9765	54834032	54842445	1905371	1926012	0	0	0	0	NA	0.35182
HNSC	CR.5248.01A	MAGI1	DPH3	3	3	-1	-1	3	4	4	0.013	65607647	16302336	tier2	Out-of-frame	9766	65342053	66024509	16299485	16306479	1	0	0	0	NA	0.36806
PAAD	L1.A7W4.01A	MAGI1	LRIG1	3	3	-1	-1	2	1	1	0.074	66023671	66512933	tier2	Out-of-frame	9767	65342053	66024509	66429221	66551687	1	0	0	0	NA	0.37576
THYM	ZB.A969.01A	MAGI1	MITF	3	3	-1	1	18	8	8	2.9	66023671	69998202	tier1	Out-of-frame	9768	65342053	66024509	69788586	70017488	1	0	0	0	NA	0.38087
PRAD	ZG.A9KY.01A	MAGI1	SUCLG2	3	3	-1	-1	6	8	6	1.4	66023671	67451275	tier1	Out-of-frame	9769	65342053	66024509	67410884	67705038	1	0	0	0	NA	0.37388
LGG	HT.7477.01B	MAGI2	VWC2	7	7	-1	1	3	1	1	0.46	79082336	49842307	tier3	Out-of-frame	9771	77646393	79082890	49813257	49952138	0	0	0	0	NA	0.36931
OV	24.1549.01A	MAGI3	DENND5A	1	11	1	-1	2	1	1	1.2	113933971	9161401	tier2	Out-of-frame	9773	113933371	114228545	9160372	9286937	1	0	0	0	NA	0.36283
BRCA	A2.A04U.01A	MAGI3	RAP1A	1	1	1	1	2	5	5	0.008	113933971	112245958	tier3	Out-of-frame	9775	113933371	114228545	112084840	112259313	1	0	0	0	NA	0.38376
BRCA	JL.A3YW.01A	MAK	ELOVL2	6	6	-1	-1	2	1	1	2	10784657	10984139	tier3	Out-of-frame	9777	10762956	10838764	10980992	11044547	0	0	0	0	NA	0.35024
PRAD	HC.8266.01A	MAK	INTS12	6	4	-1	-1	13	9	9	3.4	10791908	106604474	tier1	Out-of-frame	9778	10762956	10838764	106603784	106817143	0	0	0	0	NA	0.35048
LUSC	77.8131.01A	MALT1	NOL4	18	18	1	-1	2	1	1	1.2	56367823	31432999	tier3	In-frame	9780	58671386	58754477	31431064	31803515	0	0	1	0	NA	0.3693
HNSC	BA.6868.01B	MAMDC2	MRPS28	9	8	1	-1	107	94	87	1.3	72746528	80831383	tier1	Out-of-frame	9781	72658497	72841886	80830952	80942524	0	0	0	0	NA	0.34713
HNSC	BA.6868.01B	MAMDC2	TPD52	9	8	1	-1	10	5	5	0.42	72746528	80870670	tier1	Out-of-frame	9782	72658497	72841886	80870571	81143467	0	0	0	0	NA	0.35302
LGG	TM.A84I.01A	MAML2	ANKMY2	11	7	-1	-1	12	17	17	0.65	96074547	16666803	tier1	In-frame	9783	95709762	96076382	16639401	16685442	0	0	0	0	NA	0.36282
PCPG	WB.A81K.01A	MAML2	BCAS4	11	20	-1	1	10	6	6	0.35	95825056	49493023	tier1	Out-of-frame	9785	95709762	96076382	49411431	49493714	0	0	0	0	NA	0.356
BRCA	D8.A27H.01A	MAML2	CNTN5	11	11	-1	1	5	12	9	1.6	95825056	99715584	tier1	Out-of-frame	9786	95709762	96076382	98891683	100229616	0	1	0	0	validated	0.36322
SKCM	EE.A17Z.06A	MAML2	YAP1	11	11	-1	1	2	4	4	0.009	96074547	102094353	tier4	In-frame	9787	95709762	96076382	101981192	102104154	0	0	0	0	NA	0.37056
SARC	HB.A3YV.01A	MAML3	C6orf97	4	6	-1	1	6	8	8	0.82	140810511	151869439	tier1	In-frame	9788	140640419	141075338	151815165	151942328	0	0	0	0	NA	0
PCPG	WB.A80K.01A	MAML3	FAM171A2	4	17	-1	-1	31	26	24	0.011	141074014	42433956	tier1	Out-of-frame	9790	140640419	141075338	44353215	44363875	0	1	0	0	NA	0.35668
PCPG	QR.A70H.01A	MAML3	GPATCH8	4	17	-1	-1	3	2	2	1.1	140810511	42483419	tier1	In-frame	9791	140640419	141075338	42472652	42580802	0	1	0	0	NA	0.3577
UCEC	AX.A3FW.01A	MAML3	GTSF1	4	12	-1	-1	33	21	21	0.25	141074014	54857081	tier1	In-frame	9792	140640419	141075338	54849734	54867386	0	0	0	0	NA	0.35664
PCPG	PR.A5PH.01A	MAML3	MED24	4	17	-1	-1	4	3	3	0.014	141074014	38209888	tier2	CDS-5UTR	9793	140640419	141075338	38175350	38210661	0	0	0	0	NA	0.35828
PRAD	2A.A8VV.01A	MAML3	SCOC	4	4	-1	1	12	9	9	1.1	141074014	141300275	tier1	Out-of-frame	9794	140640419	141075338	140257286	140385726	0	0	0	0	NA	0.35674
OV	13.1489.01A	MAMSTR	RASIP1	19	19	-1	-1	2	63	57	0.21	49222231	49230687	tier2	Out-of-frame	9795	48712742	48719721	49223843	49243970	0	0	0	0	NA	0.36021
OV	13.1489.02A	MAMSTR	RASIP1	19	19	-1	-1	2	134	113	0.21	49222231	49230687	tier2	Out-of-frame	9796	48712742	48719721	49223843	49243970	0	0	0	0	NA	0.36021
SARC	DX.A3LS.01A	MAN1A1	FMNL3	6	12	-1	-1	5	7	7	2	119611848	50055832	tier1	Out-of-frame	9798	119498374	119670926	49636499	49708165	0	1	0	0	non-validated	0.35334
BLCA	ZF.AA5P.01A	MAN1A1	IFNGR2	6	21	-1	1	2	5	5	0.032	119623153	34851105	tier3	NA	9799	119498374	119670926	33402896	33479348	0	0	0	0	NA	0.36345
SARC	DX.AB2F.01A	MAN1A1	MAGT1	6	X	-1	-1	5	14	13	0.72	119611848	77086392	tier4	Out-of-frame	9801	119498374	119670926	77826364	77895593	0	0	0	0	NA	0.33459
OV	13.1512.01A	MAN1A2	CD101	1	1	1	1	4	7	6	1.1	118045592	117576482	tier1	Out-of-frame	9803	117910071	118071494	117544382	117579167	0	0	0	0	NA	0.33581
SKCM	EE.A2GR.06A	MAN1A2	PDE4DIP	1	1	1	-1	113	64	44	0.22	117911107	145021167	tier1	In-frame	9805	117910071	118071494	144836157	145076186	0	0	0	0	NA	0.35154
UCEC	FI.A3PV.01A	MAN1A2	PTGFRN	1	1	1	1	9	5	5	0.013	117984947	117529423	tier1	Out-of-frame	9806	117910071	118071494	117452679	117532980	0	0	0	0	NA	0.3569
LIHC	CC.5260.01A	MAN1A2	RNF216	1	7	1	-1	3	1	1	0.5	117911107	5817259	tier2	NA	9807	117910071	118071494	5659678	5821370	0	0	0	0	non-validated	0.36589
UCEC	A5.A2K4.01A	MAN1A2	TTF2	1	1	1	1	7	4	4	0.43	117957453	117629039	tier1	Out-of-frame	9808	117910071	118071494	117602925	117645492	0	0	0	0	NA	0.36505
UCEC	AJ.A3QS.01A	MAN1A2	TTF2	1	1	1	1	17	11	10	0.43	118003234	117641455	tier1	Out-of-frame	9809	117910071	118071494	117602925	117645492	0	0	0	0	NA	0.36505
BRCA	B6.A0I1.01A	MAN1A2	TTF2	1	1	1	1	6	4	4	0.43	117963271	117639973	tier1	In-frame	9810	117910071	118071494	117602925	117645492	0	0	0	0	non-validated	0.36505
BRCA	A8.A0A6.01A	MAN1A2	VANGL1	1	1	1	1	8	7	7	0.063	117984947	116224985	tier1	In-frame	9811	117910071	118071494	116184574	116240845	0	0	0	0	NA	0.35397
ESCA	L5.A8NS.01A	MAN1C1	C10orf93	1	10	1	-1	2	6	6	1.4	26075826	134686328	tier2	In-frame	9812	25943959	26112698	134621896	134756327	0	0	0	0	NA	0
BLCA	DK.AA6P.01A	MAN1C1	TMEM50A	1	1	1	1	22	19	19	0.13	26090458	25687151	tier1	Out-of-frame	9813	25943959	26112698	25337917	25362361	0	0	0	0	NA	0.34432
PRAD	V1.A8MM.01A	MAN2A1	DIRC1	5	2	1	-1	3	1	1	0.17	109125228	189599676	tier3	CDS-5UTR	9814	109689366	109869625	188734155	188790104	0	0	0	0	NA	0.34509
BLCA	4Z.AA84.01A	MAN2A1	HSPA4	5	5	1	1	4	2	2	2.8	109117299	132435237	tier1	Out-of-frame	9815	109689366	109869625	133051962	133106449	0	0	0	0	NA	0.37372
SARC	DX.A6YU.01A	MAN2A1	HTR4	5	5	1	-1	12	5	4	0.012	109125228	147830835	tier1	CDS-3UTR	9816	109689366	109869625	148451032	148677235	0	0	0	0	NA	0.35329
SARC	DX.A3M1.01A	MAN2A1	TRIM9	5	14	1	-1	5	1	1	0.006	109026253	51492078	tier3	In-frame	9817	109689366	109869625	51441980	51562779	1	0	0	0	non-validated	0.37285
BLCA	ZF.A9R9.01A	MAN2B1	RTBDN	19	19	-1	-1	42	45	42	0.82	12760727	12937685	tier1	In-frame	9818	12757325	12777556	12936293	12946242	0	0	0	0	NA	0.34349
BLCA	DK.A3IS.01A	MAN2B2	TACC3	4	4	1	1	35	42	20	0.22	6580225	1737458	tier1	Out-of-frame	9819	6576902	6625089	1723227	1746898	0	0	0	0	NA	0.36413
PRAD	CH.5761.01A	MAN2C1	MESP2	15	15	-1	1	23	1	1	0.64	75649134	90321296	tier4	Out-of-frame	9820	75648133	75660946	90319589	90321975	0	0	0	0	NA	0.35721
BLCA	4Z.AA7Q.01A	MAN2C1	PTPN9	15	15	-1	-1	3	1	1	0.46	75658863	75772255	tier3	Out-of-frame	9821	75648133	75660946	75759462	75871630	1	0	0	0	NA	0.3624
LUSC	22.5481.01A	MANBA	LIMCH1	4	4	-1	1	18	8	7	0.75	103681875	41600937	tier1	In-frame	9822	103552660	103682151	41361624	41702061	0	1	0	0	NA	0.34913
BLCA	LC.A66R.01A	MANBAL	UBR5	20	8	1	-1	6	1	1	2.4	35929816	103341627	tier2	In-frame	9823	35918041	35945663	103264501	103425069	0	1	0	1	NA	0.37593
BRCA	A2.A3KC.01A	MANF	SETD2	3	3	1	-1	32	32	29	0.34	51423766	47108608	tier2	In-frame	9824	51422478	51426828	47057900	47205467	0	0	0	0	validated	0.3584
KIRC	BP.4961.01A	MAP1B	C3orf67	5	3	1	-1	6	3	3	0.042	71411626	58739590	tier1	Out-of-frame	9825	71403061	71505395	58703092	59035810	1	0	0	0	NA	0
PRAD	G9.6348.01A	MAP1B	SLC27A2	5	15	1	1	4	5	2	1	71411626	50489697	tier1	In-frame	9826	71403061	71505395	50474393	50528592	1	0	0	0	NA	0.36529
LUSC	77.8009.01A	MAP1B	SUPT16H	5	14	1	-1	2	6	6	0.047	71505395	21829491	tier3	3UTR-CDS	9827	71403061	71505395	21819631	21852425	0	0	0	0	NA	0.37493
ESCA	L5.A891.01A	MAP1S	CEACAM6	19	19	1	1	340	1408	1269	1.1	17835017	42270091	tier1	Out-of-frame	9828	17830291	17845322	42259329	42276113	1	0	0	0	validated	0.36658
UCS	N8.A4PN.01A	MAP1S	CRTC1	19	19	1	1	6	5	5	0.82	17844237	18853720	tier1	In-frame	9829	17830291	17845322	18794425	18893142	0	1	0	0	NA	0.35261
MESO	TS.A8AI.01A	MAP1S	ECH1	19	19	1	-1	442	424	375	0.15	17835998	39306647	tier1	Out-of-frame	9830	17830291	17845322	38815422	38832005	1	0	0	0	NA	0.36177
HNSC	BA.A6DE.01A	MAP2	ICA1L	2	2	1	-1	33	17	16	0.003	210289000	203680732	tier1	5UTR-CDS	9831	210288782	210598842	203640690	203736708	0	0	0	0	NA	0.3715
KIRC	BP.5192.01A	MAP2K1	CUX1	15	7	1	1	7	3	3	1.3	66679765	101870647	tier1	Out-of-frame	9832	66679155	66783882	101459240	101927250	1	0	1	0	NA	0.39153
HNSC	BA.A4IG.01A	MAP2K2	PSMD9	19	12	-1	1	212	22	21	0.054	4110507	122353762	tier4	In-frame	9834	4090319	4124126	121888731	121918297	0	0	0	0	NA	0.38322
HNSC	BA.A4IG.01A	MAP2K2	RP11-87C12.2	19	12	-1	1	191	39	36	0.031	4110507	122353762	tier4	In-frame	9835	4090319	4124126	0	0	0	0	0	0	NA	0.38158
BRCA	E2.A14Y.01A	MAP2K3	NKAIN3	17	8	1	1	13	4	4	0.16	21188281	63492098	tier1	Out-of-frame	9836	21187984	21218552	63161150	63912211	1	0	0	0	NA	0.38895
BRCA	GI.A2C8.01A	MAP2K4	CD79B	17	17	1	-1	4	12	11	0.59	11958308	62008745	tier1	Out-of-frame	9837	11924135	12047050	62006100	62009714	1	0	0	0	NA	0.39409
BRCA	E2.A109.01A	MAP2K4	DNAH9	17	17	1	1	6	6	6	1.9	12032604	11865184	tier1	Out-of-frame	9838	11924135	12047050	11501748	11873485	0	0	0	0	non-validated	0.3893
HNSC	RS.A6TP.01A	MAP2K4	PSMD12	17	17	1	-1	13	14	12	0.049	11924318	65353694	tier2	Out-of-frame	9839	11924135	12047050	65334032	65362743	1	0	0	1	NA	0.38882
BLCA	K4.A83P.01A	MAP2K5	C15orf61	15	15	1	1	12	6	5	1.3	67893087	67818756	tier1	Out-of-frame	9842	67835021	68116181	67521068	67530143	0	0	0	0	NA	0
CESC	C5.A7X3.01A	MAP2K5	IQCH	15	15	1	1	8	9	8	1.2	67885312	67782341	tier1	In-frame	9843	67835021	68116181	67547138	67794142	0	0	0	0	NA	0.39116
