Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
FGFR1OP,FGFR1 oncogene partner (FOP),11116,6:166999414-167039979,6q27,yes,,"MPN, NHL",,,L,Dom,,T,FGFR1,,,"FOP,FGFR1OP,11116,ENSG00000213066"
FGFR2,fibroblast growth factor receptor 2,2263,10:121479857-121593817,10q26,yes,,"gastric, NSCLC, endometrial",,,E,Dom,,Mis,,yes,"Crouzon, Pfeiffer, and Apert syndromes","BFR-1,2263,FGFR2,ENSG00000066468,TK14,BEK,CD332,JWS,TK25,ECT1,CEK3,K-SAM,CFD1,KGFR"
FGFR3,fibroblast growth factor receptor 3,2261,4:1793935-1807262,4p16.3,yes,,"bladder, MM, T-cell lymphoma",,,"L, E",Dom,,"Mis, T","IGH, ETV6",yes,"Hypochondroplasia, Thanatophoric dysplasia","CD333,FGFR3,2261,ENSG00000068078,P22607,JTK4,ACH,HSFGFR3EX,CEK2"
FGFR4,fibroblast growth factor receptor 4,2264,5:177089603-177097676,5q35.2,yes,,rhabdomyosarcoma,,,M,Dom,,Mis,,,,"CD334,FGFR4,2264,ENSG00000160867,P22455,MGC20292,TKF,JTK2"
FH,fumarate hydratase,2271,1:241497828-241519722,1q42.1,,yes,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,,"Mis, N, F",,,,"HLRCC,FH,2271,ENSG00000091483,MCUL1,MCL,LRCC,P07954"
FHIT,fragile histidine triad gene,2272,3:59752226-60536962,3p14.2,yes,,pleomorphic salivary gland adenoma,,,E,Dom,,T,HMGA2,,,"FHIT,P49789,FRA3B,AP3Aase,ENSG00000189283,2272"
FIP1L1,FIP1 like 1 (S. cerevisiae),81608,4:53377840-53459450,4q12,yes,,idiopathic hypereosinophilic syndrome,,,L,Dom,,T,PDGFRA,,,"DKFZp586K0717,FIP1L1,81608,ENSG00000145216,Q6UN15"
FLCN,folliculin,201163,17:17213655-17228137,17p11.2,,yes,,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,,"Mis. N, F",,,,"BHD,201163,FLCN,ENSG00000154803,MGC23445,MGC17998,FLCL"
FLI1,Friend leukemia virus integration 1,2313,11:128694259-128810988,11q24,yes,,Ewing sarcoma,,,M,Dom,,T,EWSR1,,,"SIC-1,2313,FLI1,ENSG00000151702,Q01543,EWSR2"
FLT3,fms-related tyrosine kinase 3,2322,13:28004052-28100510,13q12,yes,,"AML, ALL",,,L,Dom,oncogene,"Mis, O",,,,"STK1,2322,FLT3,ENSG00000122025,P36888,FLK2,CD135,RP11-153M24_3"
FLT4,fms-related tyrosine kinase 4,2324,5:180608281-180649545,5q35.3,yes,,soft tissue sarcoma,,,M,Dom,,,,,,"FLT41,2324,FLT4,ENSG00000037280,P35916,VEGFR3,PCL"
FNBP1,formin binding protein 1 (FBP17),23048,9:129890539-130042975,9q23,yes,,AML,,,L,Dom,,T,KMT2A,,,"23048,FNBP1"
FOXA1,forkhead box A1,3169,14:37591365-37594972,14q12-q13,yes,,"breast, prostate",,,E,Dom,,"Mis, F",,,,"TCF3A,3169,FOXA1,ENSG00000129514,P55317,HNF3A,MGC33105"
FOXL2,forkhead box L2,668,3:138945592-138946722,3q23,yes,,granulosa-cell tumour of the ovary,,,O,Dom,,Mis,,yes,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","BPES,668,FOXL2,ENSG00000183770,P58012,PFRK,POF3,PINTO,BPES1"
FOXO1,forkhead box O1,2308,13:40555680-40666212,13q14.1,yes,,alveolar rhabdomyosarcoma,,,M,Dom,oncogene/TSG,T,"PAX3, PAX7",,,"Q12778,FOXO1A,2308,FOXO1,ENSG00000150907,FKH1,FKHR,FOXO1"
FOXO3,forkhead box O3,2309,6:108561209-108664855,6q21,yes,,AL,,,L,Dom,oncogene/TSG,T,KMT2A,,,"FKHRL1,2309,FOXO3,ENSG00000118689,MGC31925,MGC12739,FOXO2,FOXO3A,O43524,AF6q21,FKHRL1P2,DKFZp781A0677"
FOXO4,forkhead box O4,4303,X:71096529-71102084,Xq13.1,yes,,"AL, soft tissue sarcoma",,,"L, M",Dom,oncogene/TSG,T,"KMT2A, CIC",,,"P98177,FOXO4,4303,ENSG00000184481,MLLT7,AFX1"
FOXP1,forkhead box P1,27086,3:70959247-71198381,3p14.1,yes,,ALL,,,L,Dom,oncogene,T,PAX5,,,"MGC12942,27086,FOXP1,ENSG00000114861,hFKH1B,MGC99551,FLJ23741,QRF1,12CC4,HSPC215,MGC88572"
FSTL3,follistatin-like 3 (secreted glycoprotein),10272,19:676425-681709,19p13,yes,,B-CLL,,,L,Dom,,T,CCND1,,,"FLRG,FSTL3,10272,ENSG00000070404,O95633"
FUBP1,far upstream element (FUSE) binding protein 1,8880,1:77949146-77979004,1p13.1,yes,,oligodendroglioma,,,O,Rec,,"F, N",,,,"FBP,FUBP1,8880,ENSG00000162613,FUBP"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",2521,16:31180215-31191438,16p11.2,yes,,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,oncogene,T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2",,,"P35637,2521,FUS,ENSG00000089280,TLS/CHOP,FUS-CHOP,CHOP,FUS1,TLS"
GAS7,growth arrest-specific 7,8522,17:9917228-10198390,17p,yes,,AML*,,,L,Dom,,T,KMT2A,,,"O60861,8522,GAS7,ENSG00000007237,MGC1348,MLL/GAS7,KIAA0394"
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,X:48791110-48794164,Xp11.23,yes,,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,oncogene/TSG,"Mis, F",,,,"ERYF1,P15976,GATA1,2623,ENSG00000102145,NFE1,GF1"
GATA2,GATA binding protein 2,2624,3:128481019-128487031,3q21.3,yes,,AML (CML blast transformation),,,L,Dom,oncogene,Mis,,,,"NFE1B,GATA2,2624,ENSG00000179348,MGC2306,P23769"
GATA3,GATA binding protein 3,2625,10:8055656-8074023,10p15,yes,,breast,,,E,Rec,oncogene/TSG,"F, N, S",,yes,"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)","HDR,GATA3,2625,ENSG00000107485,MGC5445,MGC5199,MGC2346"
GMPS,guanine monphosphate synthetase,8833,3:155870871-155937692,3q24,yes,,AML,,,L,Dom,,T,KMT2A,,,"ENSG00000163655,GMPS,8833"
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",2767,19:3094652-3121179,19p13.3,yes,,"uveal melanoma, primary central nervous system melanocytic neoplasms",,,"E, O",Dom,,Mis,,,,"GNA-11,GNA11,2767,ENSG00000088256"
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",2776,9:77721323-78031235,9q21,yes,,"uveal melanoma, primary central nervous system melanocytic neoplasms",,,"E, O",Dom,,Mis,,,,"P50148,2776,GNAQ,ENSG00000156052,G-ALPHA-q,RP11-494N1_1,GAQ"
GNAS,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1",2778,20:58891727-58910829,20q13.2,yes,,"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia",,,"E, M",Dom,,Mis,,yes,"McCune-Albright syndrome; pseudohypoparathyroidism, type IA","RP4-543J19_4,2778,GNAS,ENSG00000087460,NESP55,NESP,GSP,POH,GNASXL,GNAS1,C20orf45,dJ309F20_1_1,SCG6,GPSA,Gnas,dJ806M20_3_3,XL2,MGC33735,XL,PHP1A,GSA,AHO,XLalphas,PHP1B"
GOLGA5,"golgi autoantigen, golgin subfamily a, 5  (PTC5)",9950,14:92797439-92839447,14q,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,RET,,,"ret-II,GOLGA5,9950,ENSG00000066455,rfg5,golgin-84,Q8TBA6"
GOPC,golgi associated PDZ and coiled-coil motif containing,57120,6:117563254-117602288,6q21,yes,,"glioblastoma, cholangiocarcinoma, borderline ovarian",,,"E, O",Dom,,T,ROS1,,,"FIG,57120,GOPC,ENSG00000047932,GOPC1,Q9HD26,CAL,dJ94G16_2 PIST"
GPC3,glypican 3,2719,X:133536124-133985449,Xq26.1,,yes,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,,"T, D, Mis, N, F, S",,,,"OCI-5,GPC3,2719,ENSG00000147257,SGBS,SGB,DGSX,SDYS,P51654,AC002420_1,SGBS1"
GPHN,gephyrin (GPH),10243,14:66508529-67180938,14q24,yes,,AL,,,L,Dom,,T,KMT2A,,,"ENSG00000171723,10243,GPHN"
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",2903,16:9763149-10180411,16p13.2,yes,,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,,E,Rec,,"Mis, N, F, O",,yes,Focal epilepsy and speech disorder with or without mental retardation,"Q12879,2903,GRIN2A,ENSG00000183454,NMDAR2A,NR2A"
H3F3A,"H3 histone, family 3A",3020,1:226064352-226071479,1q42.12,yes,,glioma,,,O,Dom,,Mis,,,,"H3F3A,P84243,H3F3A,H3_3B,MGC87783,MGC87782,H3F3,H3_3A,ENSG00000163041,3020"
H3F3B,"H3 histone, family 3B (H3.3B)",3021,17:75778595-75779174,17q25.1,yes,,chondroblastoma,,,M,Dom,,Mis,,,,"H3_3A,3021,H3F3B,ENSG00000132475,P84243,H3_3B,MGC87783,MGC87782,H3F3"
HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",9709,16:56932245-56943290,16q12.2-q13,yes,,prostate,,,E,Dom,,T,ERG,,,"ENSG00000051108,9709,HERPUD1,Q15011,SUP,Mif1,KIAA0025,HERP"
HEY1,hairy/enhancer-of-split related with YRPW motif 1,23462,8:79765188-79767663,8q21,yes,,mesenchymal chondrosarcoma,,,M,Dom,,T,NCOA2,,,"CHF-2,HEY1,23462,ENSG00000164683,HESR1,CHF2,HESR-1,MGC1274,HRT-1,OAF1,HERP2"
HIF1A,hypoxia inducible factor 1 alpha subunit,3091,14:61695805-61747085,14q23.2,yes,,"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic",,,"E, O",Dom,oncogene,"Mis, F, N",,,,"Q16665,3091,HIF1A,ENSG00000100644,MOP1,HIF1-ALPHA,PASD8,HIF-1alpha"
HIP1,huntingtin interacting protein 1,3092,7:75538172-75738920,7q11.23,yes,,"CMML, NSCLC",,,"L, E",Dom,,T,"PDGFRB, ALK",,,"ILWEQ,HIP1,3092,ENSG00000127946"
HIST1H3B,"histone cluster 1, H3b",8358,6:26031650-26032060,6p22.1,yes,,glioma,,,O,Dom,,Mis,,,,"HIST1H3B,H3_1,P68431,H3FJ,H3/j,H3FF,H3/f,H3_f,H3FK,H3F1K,H3/k,H3FH,H3/h,H3FI,H3/i,H3FD,H3/d,H3FB,H3/b,H3FC,H3/c,H3FL,H3/l,H3FA,H3/A,ENSG00000124693,8358"
HIST1H4I,"histone 1, H4i (H4FM)",8294,6:27107089-27107660,6p21.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"MGC24116,8294,HIST1H4I,P62805"
HLA-A,"major histocompatibility complex, class I, A",3105,6:29942554-29945455,6p21.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,yes,Carbamazepine-induced hypersensitivity syndrome,"P01892,HLA-A,3105,ENSG00000206503,P16188,P30447,P13746,P04439"
HLF,hepatic leukemia factor,3131,17:55265486-55320880,17q22,yes,,ALL,,,L,Dom,oncogene,T,TCF3,,,"Q16534,3131,HLF,ENSG00000108924"
HMGA1,high mobility group AT-hook 1,3159,6:34240781-34244884,6p21,yes,,"microfollicular thyroid adenoma, various benign mesenchymal tumours",,,"E, M",Dom,,T,?,,,"MGC4242,3159,HMGA1,ENSG00000137309,MGC12816,HMGIY,P17096,MGC4854,HMG-R"
HMGA2,high mobility group AT-hook 2 (HMGIC),8091,12:65825271-65963292,12q15,yes,,"lipoma, leiomyoma, pleomorphic salivary gland adenoma",,,M,Dom,oncogene,T,"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT",,,"HMGI-C,HMGA2,8091,ENSG00000149948,LIPO,HMGIC,BABL"
HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46,283651,15:-,15q21.1,yes,,prostate,,,E,Dom,,T,ETV1,,,
HNF1A,HNF1 homeobox A,6927,12:120978769-121001192,12q24.2,yes,yes,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma",familial hepatic adenoma,E,Rec,,"Mis, F",,yes,"Maturity-onset diabetes of the young, TYPE III","HNF1,6927,HNF1A,ENSG00000135100,TCF1,MODY3,HNF1A,P20823,LFB1"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,7:26190125-26200577,7p15,yes,,prostate,,,E,Dom,,T,ETV1,,,"ENSG00000122566,HNRNPA2B1,SNRPB1,RNPA2,HNRPB1,HNRPA2,HNRNPB1,HNRNPA2,3181"
HOOK3,hook homolog 3,84376,8:42897132-43018498,8p11.21,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"ENSG00000168172,84376,HOOK3,Q86VS8"
HOXA11,homeo box A11,3207,7:27182796-27185144,7p15-p14.2,yes,,CML,,,L,Dom,oncogene,T,NUP98,,,"HOX1,3207,HOXA11,ENSG00000005073,HOX1I,P31270"
HOXA13,homeo box A13,3209,7:27198198-27200077,7p15-p14.2,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"P31271,HOXA13,3209,ENSG00000106031,HOX1J,HOX1"
HOXA9,homeo box A9,3205,7:27163603-27165457,7p15-p14.2,yes,,AML*,,,L,Dom,oncogene,T,"NUP98, MSI2",,,"HOX1,3205,HOXA9,ENSG00000078399,HOX1G,P31269"
HOXC11,homeo box C11,3227,12:53973243-53975414,12q13.3,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"HOX3H,3227,HOXC11,ENSG00000123388,O43248"
HOXC13,homeo box C13,3229,12:53938908-53945257,12q13.3,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"HOX3G,3229,HOXC13,ENSG00000123364,P31276,HOX3"
HOXD11,homeo box D11,3237,2:176107357-176109143,2q31-q32,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"ENSG00000128713,3237,HOXD11"
HOXD13,homeo box D13,3239,2:176092916-176094731,2q31-q32,yes,,AML*,,,L,Dom,oncogene,T,NUP98,,,"SPD,3239,HOXD13,P35453,HOX4I"
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,3265,11:532636-534322,11p15.5,yes,yes,"infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder",Costello syndrome,"E, L, M",Dom,oncogene,Mis,,,,"K-ras,3265,HRAS,ENSG00000174775,HRAS1,RASH1,c-bas/has,P01112,N-ras"
HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,14:102081712-102139404,14q32.33,yes,,NHL,,,L,Dom,,T,BCL6,,,"ENSG00000080824,3320,HSP90AA1,P07900,LAP2,HSPN,HSPCAL4,HSPCAL1,HSPCA,HSPC1,HSP90N,HSP90A,Hsp90,Hsp89,HSP86,FLJ31884"
HSP90AB1,"heat shock protein 90kDa alpha (cytosolic), class B member 1",3326,6:44248630-44253598,6p12,yes,,NHL,,,L,Dom,,T,BCL6,,,"HSPCB,HSP90AB1,3326,ENSG00000096384,HSP90B,HSP90-BETA,P08238,D6S182,HSPC2,FLJ26984"
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",3417,2:208237079-208251551,2q33.3,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"IDP,3417,IDH1,ENSG00000138413,IDH,PICD,O75874"
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",3418,15:90084266-90102390,15q26.1,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"P48735,IDH2,3418,ENSG00000182054,IDHM,mNADP-IDH,IDH,IDP,ICD-M"
IGH,immunoglobulin heavy locus,3492,14:-,14q32.33,yes,,"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS",,,L,Dom,,T,"MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2",,,
IGK,immunoglobulin kappa locus,50802,2:-,2p12,yes,,"Burkitt lymphoma, B-NHL",,,L,Dom,,T,"MYC, KDSR",,,
IGL,immunoglobulin lambda locus,3535,22:-,22q11.2,yes,,Burkitt lymphoma,,,L,Dom,,T,"BCL9, MYC, CCND2",,,
IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",3551,8:42272100-42330979,8p11.2,yes,,SMZL,,,L,Dom,oncogene,Mis,,yes,Immunodeficiency 15,"O14920,IKBKB,3551,ENSG00000104365"
IKZF1,IKAROS family zinc finger 1,10320,7:50319062-50400628,7p12.2,yes,,"ALL, DLBCL",,,L,Dom/Rec,TSG,"D,T",BCL6,,,"LyF-1,10320,IKZF1,ENSG00000185811,Q13422,Hs_54452,hIk-1,ZNFN1A1,IKAROS"
IL2,interleukin 2,3558,4:122451752-122456440,4q26-q27,yes,,intestinal T-cell lymphoma,,,L,Dom,,T,TNFRSF17,,,"IL-2,3558,IL2,ENSG00000109471,P60568"
IL21R,interleukin 21 receptor,50615,16:27430073-27449284,16p11,yes,,NHL,,,L,Dom,,T,BCL6,,,"Q9HBE5,IL21R,50615,ENSG00000103522"
IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",3572,5:55941082-55976278,5q11,yes,,hepatocellular carcinoma,,,E,Dom,,O,,,,"CDw130,3572,IL6ST,ENSG00000134352,P40189,IL6R-beta,GP130-RAPS,GP130,CD130"
IL7R,interleukin 7 receptor,3575,5:35856978-35876486,5p13,yes,,"ALL, ETP ALL",,,L,Dom,,"Mis, O",,yes,Severe combined immune deficiency,"IL7R,P16871,IL-7R-alpha,CDW127,CD127,ENSG00000168685,3575"
IRF4,interferon regulatory factor 4,3662,6:393154-407599,6p25-p23,yes,,MM,,,L,Dom,oncogene/TSG,T,IGH,,,"LSIRF,3662,IRF4,ENSG00000137265,Q15306"
ITK,IL2-inducible T-cell kinase,3702,5:157180978-157252678,5q31-q32,yes,,peripheral T-cell lymphoma,,,L,Dom,,T,SYK,,,"PSCTK2,ITK,3702,Q08881,ENSG00000113263,EMT,MGC126258,LYK,MGC126257"
JAK1,Janus kinase 1,3716,1:64834562-64886264,1p32.3-p31.3,yes,,ALL,,,L,Dom,,Mis,,,,"ENSG00000162434,P23458,JTK3,JAK1B,JAK1A,3716,JAK1"
JAK2,Janus kinase 2,3717,9:5021988-5126791,9p24,yes,,"ALL, AML, MPN,  CML",,,L,Dom,oncogene,"T, Mis, O","ETV6, PCM1, BCR",,,"ENSG00000096968,O60674,JTK10,3717,JAK2"
JAK3,Janus kinase 3,3718,19:17826743-17844417,19p13.1,yes,,"acute megakaryocytic leukaemia, ETP ALL",,,L,Dom,,Mis,,,,"L-JAK,3718,JAK3,ENSG00000105639,P52333,JAKL,JAK-3,LJAK,JAK3_HUMAN"
JAZF1,juxtaposed with another zinc finger gene 1,221895,7:27832800-28180577,7p15.2-p15.1,yes,,endometrial stromal tumour,,,M,Dom,,T,SUZ12,,,"Q86VZ6,221895,JAZF1,ENSG00000153814"
JUN,jun oncogene,3725,1:58782075-58783070,1p32-p31,yes,,sarcoma,,,M,Dom,,A,,,,"P05412,JUN,3725,ENSG00000177606,AP1,c-Jun"
KAT6A,K(lysine) acetyltransferase 6A,7994,8:-,8p11,yes,,AML,,,L,Dom,,T,"CREBBP, NCOA2, EP300",,,
KAT6B,K(lysine) acetyltransferase 6B,23522,10:74842858-75031046,10q22.2,yes,,AML,,,L,Dom,,T,CREBBP,,,"DKFZp313G1618,23522,MYST4,KAT6B,ENSG00000156650,Q8WYB5,querkopf,qkf,MOZ2,MORF,KIAA0383,FLJ90335"
KCNJ5,"potassium inwardly-rectifying channel; subfamily J; member 5",3762,11:128911274-128916731,11q24,yes,,adrenal adenoma,,,E,Dom,,Mis,,yes,"Familial hyperaldosteronism type III, Long QT syndrome","ENSG00000120457,3762,KCNJ5,P48544,KIR3_4,KATP1,GIRK4"
KDM5A,"lysine (K)-specific demethylase 5A, JARID1A",5927,12:285456-389091,12p11,yes,,AML,,,L,Dom,,T,NUP98,,,"RBBP2,5927,JARID1A,KDM5A,ENSG00000073614"
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),8242,X:53192967-53224889,Xp11.22-p11.21,yes,,clear cell renal carcinoma,,,E,Rec,,"N, F, S, Mis",,yes, X-linked mental retardation syndromic Claes-Jensen-type.,"XE169,SMCX,JARID1C,8242,KDM5C,ENSG00000126012,DXS1272E,MRXSJ,MRXJ,RP11-258C19_2"
KDM6A,"lysine (K)-specific demethylase 6A, UTX",7403,X:44873552-45111411,Xp11.2,yes,,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,,"D, N, F, S",,yes,Kabuki syndrome,"O15550,UTX,KDM6A,7403,ENSG00000147050,DKFZp686A03225,RP13-886N14_3,MGC141941,bA386N14_2"
KDR,vascular endothelial growth factor receptor 2,3791,4:55079941-55125293,4q11-q12,yes,,"NSCLC, angiosarcoma",,,E,Dom,,Mis,,,,"VEGFR2,3791,KDR,ENSG00000128052,P35968,VEGFR,CD309,FLK1"
KDSR,3-ketodihydrosphingosine reductase,2531,18:63331782-63367118,18q21.3,yes,,B-NHL,,,L,Dom,,T,IGK,,,"Q06136,KDSR,2531,ENSG00000119537,FVT1"
KEAP1,kelch like ECH associated protein 1,9817,19:10486652-10500033,19p13.2,yes,,"NSCLC, breast carcinoma",,,E,,TSG,"Mis, N, F",,,,"INrf2,ENSG00000079999,9817,KEAP1,Q14145,MGC9454,MGC4407,MGC20887,MGC1114,MGC10630,KLHL19,KIAA0132"
KIAA1549,KIAA1549,57670,7:138837906-138919418,7q34,yes,,pilocytic astrocytoma,,,O,Dom,,T,BRAF,,,"ENSG00000122778,57670,KIAA1549"
KIAA1598,KIAA1598,57698,10:116886555-117005079,10q25.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,,,"ENSG00000187164,57698,KIAA1598,shootin1,shootin-1,MGC40476,DKFZp686A0439"
KIF5B,kinesin family member 5B,3799,10:32009010-32055973,10p11.22,yes,,"NSCLC, Spitzoid tumour",,,E,Dom,,T,"RET, ALK",,,"ENSG00000170759,3799,KIF5B,P33176,UKHC,KNS1,KNS,KINH"
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,3815,4:54658015-54738557,4q12,yes,yes,"GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma",familial gastrointestinal stromal tumour,"L, M, O, E",Dom,oncogene,"Mis, O",,yes,Piebald trait,"C-Kit,3815,KIT,ENSG00000157404,CD117,SCFR,P10721"
KLF4,Kruppel-like factor 4,9314,9:107485751-107489172,9q31,yes,,meningioma,,,O,Dom,oncogene/TSG,Mis,,,,"EZF,KLF4,9314,ENSG00000136826,GKLF,O43474"
KLF6,Kruppel-like factor 6,1316,10:3779539-3785014,10p15,yes,,"prostate, glioma",,,"E, O",Rec,,"Mis, N",,,,"RP11-184A2_1,1316,KLF6,ENSG00000067082,ST12,DKFZp686N0199,CPBP,Zf9,COPEB,ZF9,PAC1,GBF,BCD1"
KLK2,kallikrein-related peptidase 2,3817,19:50873474-50878559,19q13.41,yes,,prostate,,,E,Dom,,T,ETV4,,,"P20151,KLK2,3817,ENSG00000167751,MGC12201,hK2,KLK2A2"
KMT2A,lysine (K)-specific methyltransferase 2A,4297,11:118436513-118522172,11q23,yes,,"AML, ALL",,,L,Dom,oncogene,"T, O","KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18",,,"TRX1,KMT2A,4297,MLL,ENSG00000118058,MLL/GAS7,HTRX1,HRX,ALL-1,MLL1A,CXXC7"
KMT2C,lysine (K)-specific methyltransferase 2C,58508,7:152136832-152435786,7q36.1,yes,,medulloblastoma,,,O,Rec,,N,,,,"ENSG00000055609,KMT2C,MLL3,58508"
KMT2D,lysine (K)-specific methyltransferase 2D,8085,12:49021780-49055324,12q13.12,yes,,"medulloblastoma, renal",,,"O, E",Rec,,"N, F, Mis",,,,"ENSG00000167548,KMT2D,8085,MLL2"
KRAS,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,3845,12:25209795-25245384,12p12.1,yes,,"pancreatic, colorectal, lung, thyroid, AML, other tumour types",,,"L, E, M, O",Dom,oncogene,Mis,,,,"C-K-RAS,KRAS,3845,P01116,NS3,KI-RAS,KRAS2,K-RAS4A,K-RAS2A,K-RAS4B,KRAS1,K-RAS2B,RASK2"
KTN1,kinectin 1 (kinesin receptor),3895,14:55612050-55680691,14q22.1,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"Q86UP2,KTN1,3895,ENSG00000126777,KIAA0004,CG1"
LASP1,LIM and SH3 protein 1,3927,17:38870190-38918778,17q11-q21.3,yes,,AML,,,L,Dom,,T,KMT2A,,,"ENSG00000002834,3927,LASP1,Q14847,MLN50,Lasp-1"
LCK,lymphocyte-specific protein tyrosine kinase,3932,1:32274330-32285716,1p35-p34.3,yes,,T-ALL,,,L,Dom,,T,TRB,,,"YT16,3932,LCK,P06239,ENSG00000182866,p56lck,pp58lck"
LCP1,lymphocyte cytosolic protein 1 (L-plastin),3936,13:46127591-46159662,13q14.1-q14.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"CP64,LCP1,3936,ENSG00000136167,FLJ39956,DKFZp781A23186,L-PLASTIN,FLJ25423,P13796,FLJ26114,PLS2,LC64P"
LEF1,lymphoid enhancer binding factor 1,51176,4:108063629-108167767,4q25,yes,,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,oncogene/TSG,"Mis, N",,,,"TCF1ALPHA,51176,LEF1,ENSG00000138795,Q9UJU2,DKFZp586H0919"
LHFP,lipoma HMGIC fusion partner,10186,13:39343936-39601216,13q12,yes,,lipoma,,,M,Dom,,T,HMGA2,,,"MGC22429,LHFP,10186,ENSG00000183722"
LIFR,leukemia inhibitory factor receptor,3977,5:38481595-38530647,5p13-p12,yes,,salivary adenoma,,,E,Dom,,T,PLAG1,,,"SJS2,LIFR,3977,ENSG00000113594,SWS,STWS,CD118"
LMNA,lamin A/C,4000,1:156114919-156139106,1q22,yes,,Spitzoid tumour,,,E,Dom,,T,NTRK1,yes,"Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others","EMD2,LMNA,4000,ENSG00000160789,LGMD1B,LDP1,PRO1,LMNC,FPLD,CDDC,HGPS,P02545,LFP,IDC,CMD1A,CDCD1,LMN1,CMT2B1,FPL"
