Gene_Ensembl_ID	Gene_full_name	Protein_RefSeq_ID
ENSG00000206932	RNA, U6 small nuclear 4, pseudogene	NA
ENSG00000206935	RNA, U6 small nuclear 514, pseudogene	NA
ENSG00000206936	RNA, U4 small nuclear 52, pseudogene	NA
ENSG00000206937	small nucleolar RNA, H/ACA box 70B	NA
ENSG00000206938	RNA, U4 small nuclear 31, pseudogene	NA
ENSG00000206939	RNA, U6 small nuclear 281, pseudogene	NA
ENSG00000206941	small nucleolar RNA, C/D box 15A	NA
ENSG00000206944	RNA, U6 small nuclear 708, pseudogene	NA
ENSG00000206947	small nucleolar RNA, H/ACA box 20B	NA
ENSG00000206948	small nucleolar RNA, H/ACA box 36A	NA
ENSG00000206949	RNA, U6 small nuclear 1324, pseudogene	NA
ENSG00000206950	Y RNA	NA
ENSG00000206951	Y RNA	NA
ENSG00000206952	small nucleolar RNA, H/ACA box 50A	NA
ENSG00000206954	RNA, U6 small nuclear 1201, pseudogene	NA
ENSG00000206957	Y RNA	NA
ENSG00000206958	Small nucleolar RNA SNORA70	NA
ENSG00000206959	Y RNA	NA
ENSG00000206960	RNA, U6 small nuclear 793, pseudogene	NA
ENSG00000206962	RNA, U6 small nuclear 74, pseudogene	NA
ENSG00000206963	RNA, U6 small nuclear 675, pseudogene	NA
ENSG00000206964	Y RNA	NA
ENSG00000206965	RNA, U6 small nuclear 5, pseudogene	NA
ENSG00000206967	Y RNA	NA
ENSG00000206969	RNA, U6 small nuclear 1316, pseudogene	NA
ENSG00000206970	RNA, U6 small nuclear 474, pseudogene	NA
ENSG00000206972	RNA, U6 small nuclear 17, pseudogene	NA
ENSG00000206973	RNA, U6 small nuclear 1145, pseudogene	NA
ENSG00000206974	RNA, U6 small nuclear 1144, pseudogene	NA
ENSG00000206975	RNA, U6 small nuclear 13, pseudogene	NA
ENSG00000206978	Y RNA	NA
ENSG00000206979	small nucleolar RNA, C/D box 61	NA
ENSG00000206980	RNA, U6 small nuclear 662, pseudogene	NA
ENSG00000206981	RNA, U6 small nuclear 40, pseudogene	NA
ENSG00000206982	Y RNA	NA
ENSG00000206983	RNA, U6 small nuclear 49, pseudogene	NA
ENSG00000206985	RNA, U6 small nuclear 198, pseudogene	NA
ENSG00000206987	U8 small nucleolar RNA	NA
ENSG00000206989	small nucleolar RNA, C/D box 63	NA
ENSG00000206990	Y RNA	NA
ENSG00000206991	RNA, U6 small nuclear 610, pseudogene	NA
ENSG00000206992	RNA, U6 small nuclear 574, pseudogene	NA
ENSG00000206995	Y RNA	NA
ENSG00000206996	RNA, U6 small nuclear 842, pseudogene	NA
ENSG00000206997	RNA, U6 small nuclear 524, pseudogene	NA
ENSG00000206998	Y RNA	NA
ENSG00000206999	RNA, U6 small nuclear 622, pseudogene	NA
ENSG00000207000	RNA, U6 small nuclear 820, pseudogene	NA
ENSG00000207001	small nucleolar RNA, C/D box 116-2	NA
ENSG00000207003	RNA, U6 small nuclear 611, pseudogene	NA
ENSG00000207004	RNA, U6 small nuclear 301, pseudogene	NA
ENSG00000207005	RNA, U1 small nuclear 2	NA
ENSG00000207007	RNA, U6 small nuclear 891, pseudogene	NA
ENSG00000207008	small nucleolar RNA, H/ACA box 54	NA
ENSG00000207009	Y RNA	NA
ENSG00000207010	RNA, U6 small nuclear 318, pseudogene	NA
ENSG00000207011	RNY4 pseudogene 13	NA
ENSG00000207012	RNA, U6 small nuclear 72, pseudogene	NA
ENSG00000207013	RNA, U6 small nuclear 804, pseudogene	NA
ENSG00000207014	small nucleolar RNA, C/D box 116-3	NA
ENSG00000207016	small nucleolar RNA, H/ACA box 36C	NA
ENSG00000207019	RNA, U6 small nuclear 167, pseudogene	NA
ENSG00000207020	Y RNA	NA
ENSG00000207021	Y RNA	NA
ENSG00000207023	RNA, U6 small nuclear 975, pseudogene	NA
ENSG00000207024	Y RNA	NA
ENSG00000207025	Y RNA	NA
ENSG00000207026	RNA, U6 small nuclear 472, pseudogene	NA
ENSG00000207029	RNA, U6 small nuclear 43, pseudogene	NA
ENSG00000207031	small nucleolar RNA, C/D box 59A	NA
ENSG00000207032	Y RNA	NA
ENSG00000207033	RNA, U6 small nuclear 154, pseudogene	NA
ENSG00000207034	Y RNA	NA
ENSG00000207036	RNY3 pseudogene 14	NA
ENSG00000207037	RNA, U6 small nuclear 339, pseudogene	NA
ENSG00000207039	Y RNA	NA
ENSG00000207041	RNA, U6 small nuclear 3, pseudogene	NA
ENSG00000207042	RNA, U6 small nuclear 196, pseudogene	NA
ENSG00000207044	RNA, U6 small nuclear 1226, pseudogene	NA
ENSG00000207045	RNA, U6 small nuclear 532, pseudogene	NA
ENSG00000207046	RNA, U6 small nuclear 886, pseudogene	NA
ENSG00000207047	small nucleolar RNA, C/D box 51	NA
ENSG00000207049	Y RNA	NA
ENSG00000207051	small nucleolar RNA, H/ACA box 27	NA
ENSG00000207052	RNA, U6 small nuclear 378, pseudogene	NA
ENSG00000207053	RNA, U6 small nuclear 937, pseudogene	NA
ENSG00000207056	RNA, U1 small nuclear 8, pseudogene	NA
ENSG00000207058	RNA, U6 small nuclear 784, pseudogene	NA
ENSG00000207060	RNA, U6 small nuclear 480, pseudogene	NA
ENSG00000207061	Y RNA	NA
ENSG00000207062	small nucleolar RNA, H/ACA box 15B-1	NA
ENSG00000207063	small nucleolar RNA, C/D box 116-1	NA
ENSG00000207065	RNA, U5A small nuclear 2, pseudogene	NA
ENSG00000207067	small nucleolar RNA, H/ACA box 72	NA
ENSG00000207068	RNA, U6 small nuclear 463, pseudogene	NA
ENSG00000207069	Y RNA	NA
ENSG00000207071	RNA, U6 small nuclear 1207, pseudogene	NA
ENSG00000207072	RNA, U6 small nuclear 39, pseudogene	NA
ENSG00000207073	Y RNA	NA
ENSG00000207075	Y RNA	NA
ENSG00000207076	RNA, U6 small nuclear 1113, pseudogene	NA
ENSG00000207077	RNA, U6 small nuclear 1119, pseudogene	NA
ENSG00000207080	Y RNA	NA
ENSG00000207081	RNA, U6 small nuclear 616, pseudogene	NA
ENSG00000207082	RNA, U6 small nuclear 171, pseudogene	NA
ENSG00000207083	RNA, U6 small nuclear 22, pseudogene	NA
ENSG00000207084	Small nucleolar RNA SNORA72	NA
ENSG00000207086	Y RNA	NA
ENSG00000207087	RNA, U6 small nuclear 242, pseudogene	NA
ENSG00000207088	small nucleolar RNA, H/ACA box 7B	NA
ENSG00000207089	RNA, U6 small nuclear 921, pseudogene	NA
ENSG00000207090	RNA, U6 small nuclear 517, pseudogene	NA
ENSG00000207091	Y RNA	NA
ENSG00000207092	Y RNA	NA
ENSG00000207093	small nucleolar RNA, C/D box 116-8	NA
ENSG00000207095	RNA, U6 small nuclear 424, pseudogene	NA
ENSG00000207097	RNA, U6 small nuclear 614, pseudogene	NA
ENSG00000207098	Small nucleolar RNA SNORA70	NA
ENSG00000207099	RNA, U6 small nuclear 166, pseudogene	NA
ENSG00000207101	Y RNA	NA
ENSG00000207104	RNA, U6 small nuclear 434, pseudogene	NA
ENSG00000207105	Y RNA	NA
ENSG00000207108	Y RNA	NA
ENSG00000207109	small nucleolar RNA, C/D box 38C	NA
ENSG00000207110	RNA, variant U1 small nuclear 32	NA
ENSG00000207112	small nucleolar RNA, H/ACA box 25	NA
ENSG00000207113	RNA, U6 small nuclear 16, pseudogene	NA
ENSG00000207114	RNA, U6 small nuclear 348, pseudogene	NA
ENSG00000207115	RNA, U6 small nuclear 364, pseudogene	NA
ENSG00000207116	RNA, U6 small nuclear 31, pseudogene	NA
ENSG00000207117	Y RNA	NA
ENSG00000207118	small nucleolar RNA, C/D box 14D	NA
ENSG00000207119	Small nucleolar RNA U3	NA
ENSG00000207121	RNA, U6 small nuclear 1230, pseudogene	NA
ENSG00000207122	RNA, U6 small nuclear 591, pseudogene	NA
ENSG00000207123	Y RNA	NA
ENSG00000207124	RNA, U6 small nuclear 163, pseudogene	NA
ENSG00000207127	Y RNA	NA
ENSG00000207128	RNA, U6 small nuclear 729, pseudogene	NA
ENSG00000207129	RNA, 5S ribosomal pseudogene 187	NA
ENSG00000207131	Y RNA	NA
ENSG00000207132	Y RNA	NA
ENSG00000207133	small nucleolar RNA, C/D box 116-7	NA
ENSG00000207134	RNA, U6 small nuclear 106, pseudogene	NA
ENSG00000207135	RNA, U6 small nuclear 452, pseudogene	NA
ENSG00000207136	RNA, U6 small nuclear 769, pseudogene	NA
ENSG00000207137	small nucleolar RNA, C/D box 116-13	NA
ENSG00000207138	RNA, U6 small nuclear 869, pseudogene	NA
ENSG00000207139	Y RNA	NA
ENSG00000207142	Y RNA	NA
ENSG00000207144	RNA, U6 small nuclear 1297, pseudogene	NA
ENSG00000207145	small nucleolar RNA, H/ACA box 18	NA
ENSG00000207146	Y RNA	NA
ENSG00000207148	Y RNA	NA
ENSG00000207149	RNA, U6 small nuclear 465, pseudogene	NA
ENSG00000207150	RNA, U6 small nuclear 185, pseudogene	NA
ENSG00000207151	Y RNA	NA
ENSG00000207153	RNA, U6 small nuclear 933, pseudogene	NA
ENSG00000207154	RNA, U1 small nuclear 46, pseudogene	NA
ENSG00000207155	RNY1 pseudogene 14	NA
ENSG00000207156	RNA, U6 small nuclear 505, pseudogene	NA
ENSG00000207157	RNY3 pseudogene 4	NA
ENSG00000207158	RNA, U6 small nuclear 929, pseudogene	NA
ENSG00000207160	RNA, U6 small nuclear 1289, pseudogene	NA
ENSG00000207161	Y RNA	NA
ENSG00000207162	RNA, U6 small nuclear 549, pseudogene	NA
ENSG00000207163	RNA, U6 small nuclear 905, pseudogene	NA
ENSG00000207164	Y RNA	NA
ENSG00000207165	small nucleolar RNA, H/ACA box 70	NA
ENSG00000207166	small nucleolar RNA, H/ACA box 68	NA
ENSG00000207167	RNA, U6 small nuclear 1340, pseudogene	NA
ENSG00000207168	small nucleolar RNA, H/ACA box 15	NA
ENSG00000207169	RNA, U6 small nuclear 24, pseudogene	NA
ENSG00000207170	RNA, U6 small nuclear 1215, pseudogene	NA
ENSG00000207172	RNA, U6 small nuclear 1162, pseudogene	NA
ENSG00000207173	Y RNA	NA
ENSG00000207174	small nucleolar RNA, C/D box 116-15	NA
ENSG00000207175	RNA, U1 small nuclear 67, pseudogene	NA
ENSG00000207176	Y RNA	NA
ENSG00000207178	RNA, U6 small nuclear 1122, pseudogene	NA
ENSG00000207180	RNA, U6 small nuclear 411, pseudogene	NA
ENSG00000207181	small nucleolar RNA, H/ACA box 14B	NA
ENSG00000207182	RNA, U1 small nuclear 44, pseudogene	NA
ENSG00000207183	RNA, U6 small nuclear 843, pseudogene	NA
ENSG00000207185	RNA, U6 small nuclear 1157, pseudogene	NA
ENSG00000207186	RNA, 5S ribosomal pseudogene 122	NA
ENSG00000207187	small nucleolar RNA, H/ACA box 10B	NA
ENSG00000207189	Y RNA	NA
ENSG00000207190	RNA, U6 small nuclear 809, pseudogene	NA
ENSG00000207191	small nucleolar RNA, C/D box 116-5	NA
ENSG00000207192	RNA, U6 small nuclear 649, pseudogene	NA
ENSG00000207193	Y RNA	NA
ENSG00000207194	RNA, U6 small nuclear 1026, pseudogene	NA
ENSG00000207195	Y RNA	NA
ENSG00000207196	Y RNA	NA
ENSG00000207197	small nucleolar RNA, C/D box 116-12	NA
ENSG00000207198	RNA, U6 small nuclear 1195, pseudogene	NA
ENSG00000207199	small nucleolar RNA, C/D box 38D	NA
ENSG00000207200	RNA, U6 small nuclear 45, pseudogene	NA
ENSG00000207201	RNA, U1 small nuclear 148, pseudogene	NA
ENSG00000207202	RNA, U6 small nuclear 800, pseudogene	NA
ENSG00000207203	RNA, U6 small nuclear 71, pseudogene	NA
ENSG00000207204	RNA, U6 small nuclear 393, pseudogene	NA
ENSG00000207205	RNA, variant U1 small nuclear 15	NA
ENSG00000207206	RNA, U6 small nuclear 1035, pseudogene	NA
ENSG00000207207	Y RNA	NA
ENSG00000207208	RNA, U6 small nuclear 790, pseudogene	NA
ENSG00000207209	Y RNA	NA
ENSG00000207210	Y RNA	NA
ENSG00000207214	RNA, U6 small nuclear 102, pseudogene	NA
ENSG00000207215	small nucleolar RNA, C/D box 3H	NA
ENSG00000207217	small nucleolar RNA, H/ACA box 80D	NA
ENSG00000207218	Y RNA	NA
ENSG00000207220	RNA, U1 small nuclear 57, pseudogene	NA
ENSG00000207221	small nucleolar RNA, H/ACA box 70E	NA
ENSG00000207222	RNA, U6 small nuclear 456, pseudogene	NA
ENSG00000207223	Y RNA	NA
ENSG00000207225	RNA, U6 small nuclear 692, pseudogene	NA
ENSG00000207227	RNA, U6 small nuclear 900, pseudogene	NA
ENSG00000207229	Y RNA	NA
ENSG00000207231	Y RNA	NA
ENSG00000207233	small nucleolar RNA, H/ACA box 37	NA
ENSG00000207234	RNA, U6 small nuclear 125, pseudogene	NA
ENSG00000207235	Y RNA	NA
ENSG00000207237	RNA, U6 small nuclear 110, pseudogene	NA
ENSG00000207240	Y RNA	NA
ENSG00000207241	small nucleolar RNA, C/D box 45A	NA
ENSG00000207242	RNA, U6 small nuclear 1065, pseudogene	NA
ENSG00000207243	Y RNA	NA
ENSG00000207244	Small nucleolar RNA SNORA70	NA
ENSG00000207245	small nucleolar RNA, C/D box 116-29	NA
ENSG00000207247	Y RNA	NA
ENSG00000207248	RNA, U6 small nuclear 1005, pseudogene	NA
ENSG00000207249	Small nucleolar RNA SNORA72	NA
ENSG00000207251	RNA, U6 small nuclear 342, pseudogene	NA
ENSG00000207252	Y RNA	NA
ENSG00000207255	RNA, U6 small nuclear 1117, pseudogene	NA
ENSG00000207256	RNA, U6 small nuclear 880, pseudogene	NA
ENSG00000207257	RNA, U6 small nuclear 18, pseudogene	NA
ENSG00000207258	Y RNA	NA
ENSG00000207260	RNA, U6 small nuclear 35, pseudogene	NA
ENSG00000207261	RNA, U6 small nuclear 738, pseudogene	NA
ENSG00000207263	small nucleolar RNA, C/D box 116-16	NA
ENSG00000207264	RNA, U6 small nuclear 15, pseudogene	NA
ENSG00000207265	Y RNA	NA
ENSG00000207266	RNA, U6 small nuclear 1241, pseudogene	NA
ENSG00000207267	RNA, U6 small nuclear 1081, pseudogene	NA
ENSG00000207268	small nucleolar RNA, H/ACA box 70C	NA
ENSG00000207269	RN7SK pseudogene 62	NA
ENSG00000207270	RNA, U6 small nuclear 601, pseudogene	NA
ENSG00000207271	Y RNA	NA
ENSG00000207274	small nucleolar RNA, H/ACA box 70I	NA
ENSG00000207275	RNA, U6 small nuclear 441, pseudogene	NA
ENSG00000207276	RNA, U6 small nuclear 1160, pseudogene	NA
ENSG00000207277	RNA, 5S ribosomal pseudogene 284	NA
ENSG00000207278	RNA, U6 small nuclear 831, pseudogene	NA
ENSG00000207279	small nucleolar RNA, C/D box 116-24	NA
ENSG00000207280	small nucleolar RNA, C/D box 20	NA
ENSG00000207281	Y RNA	NA
ENSG00000207282	Y RNA	NA
ENSG00000207283	Y RNA	NA
ENSG00000207286	Y RNA	NA
ENSG00000207287	RNA, U6 small nuclear 1274, pseudogene	NA
ENSG00000207289	RNA, U6 small nuclear 1235, pseudogene	NA
ENSG00000207290	Y RNA	NA
ENSG00000207291	RNA, U6 small nuclear 30, pseudogene	NA
ENSG00000207292	Y RNA	NA
ENSG00000207293	Y RNA	NA
ENSG00000207294	Y RNA	NA
ENSG00000207295	RNA, U6 small nuclear 851, pseudogene	NA
ENSG00000207296	RNA, U6 small nuclear 140, pseudogene	NA
ENSG00000207297	small nucleolar RNA, C/D box 7	NA
ENSG00000207298	RNA, U6 small nuclear 83, pseudogene	NA
ENSG00000207300	Y RNA	NA
ENSG00000207302	Y RNA	NA
ENSG00000207303	Y RNA	NA
ENSG00000207304	small nucleolar RNA, H/ACA box 8	NA
ENSG00000207305	Y RNA	NA
ENSG00000207306	RNA, U6 small nuclear 1152, pseudogene	NA
ENSG00000207307	RNA, U6 small nuclear 145, pseudogene	NA
ENSG00000207308	RNA, U6 small nuclear 878, pseudogene	NA
ENSG00000207309	RNA, U4 small nuclear 70, pseudogene	NA
ENSG00000207310	RNA, U6 small nuclear 1127, pseudogene	NA
ENSG00000207312	RNA, U6 small nuclear 429, pseudogene	NA
ENSG00000207313	small nucleolar RNA, H/ACA box 2B	NA
ENSG00000207316	Y RNA	NA
ENSG00000207317	Y RNA	NA
ENSG00000207318	RNA, U6 small nuclear 1184, pseudogene	NA
ENSG00000207319	Y RNA	NA
ENSG00000207320	Y RNA	NA
ENSG00000207321	RNA, U6 small nuclear 160, pseudogene	NA
ENSG00000207322	RNA, U1 small nuclear 89, pseudogene	NA
ENSG00000207323	RNA, U6 small nuclear 901, pseudogene	NA
ENSG00000207325	RNY1 pseudogene 4	NA
ENSG00000207326	Y RNA	NA
ENSG00000207327	RNA, U6 small nuclear 883, pseudogene	NA
ENSG00000207328	RNA, U6 small nuclear 636, pseudogene	NA
ENSG00000207329	Y RNA	NA
ENSG00000207330	RNA, U6 small nuclear 73, pseudogene	NA
ENSG00000207331	RNA, U6 small nuclear 1263, pseudogene	NA
ENSG00000207332	RNA, U6 small nuclear 146, pseudogene	NA
ENSG00000207333	RNA, U6 small nuclear 680, pseudogene	NA
ENSG00000207334	RNA, U6 small nuclear 12, pseudogene	NA
ENSG00000207336	RNA, U6 small nuclear 658, pseudogene	NA
ENSG00000207338	RNA, U6 small nuclear 296, pseudogene	NA
ENSG00000207340	RNA, variant U1 small nuclear 1	NA
ENSG00000207341	RNA, 5S ribosomal pseudogene 64	NA
ENSG00000207342	Y RNA	NA
ENSG00000207343	RNA, U6 small nuclear 225, pseudogene	NA
ENSG00000207344	small nucleolar RNA, H/ACA box 22C	NA
ENSG00000207345	RNA, U6 small nuclear 1222, pseudogene	NA
ENSG00000207347	RNA, U6 small nuclear 306, pseudogene	NA
ENSG00000207349	RNA, variant U1 small nuclear 17	NA
ENSG00000207351	Y RNA	NA
ENSG00000207352	RNA, U6 small nuclear 540, pseudogene	NA
ENSG00000207355	RNA, U6 small nuclear 1257, pseudogene	NA
ENSG00000207356	Y RNA	NA
ENSG00000207357	RNA, U6 small nuclear 2	NA
ENSG00000207359	RNA, U6 small nuclear 925, pseudogene	NA
ENSG00000207360	RNA, U6 small nuclear 14, pseudogene	NA
ENSG00000207361	RNA, U6 small nuclear 178, pseudogene	NA
ENSG00000207362	RNA, U6 small nuclear 422, pseudogene	NA
ENSG00000207363	Y RNA	NA
ENSG00000207364	RNA, U6 small nuclear 939, pseudogene	NA
ENSG00000207365	Y RNA	NA
ENSG00000207366	RNA, U6 small nuclear 297, pseudogene	NA
ENSG00000207367	RNA, U6 small nuclear 29, pseudogene	NA
ENSG00000207368	Y RNA	NA
ENSG00000207369	RNA, U6 small nuclear 665, pseudogene	NA
ENSG00000207370	Y RNA	NA
ENSG00000207371	Y RNA	NA
ENSG00000207375	small nucleolar RNA, C/D box 116-23	NA
ENSG00000207378	RNA, U6 small nuclear 748, pseudogene	NA
ENSG00000207379	Y RNA	NA
ENSG00000207380	Y RNA	NA
ENSG00000207381	RNA, U6 small nuclear 950, pseudogene	NA
ENSG00000207382	Y RNA	NA
ENSG00000207383	Y RNA	NA
ENSG00000207384	Y RNA	NA
ENSG00000207385	RNA, U6 small nuclear 310, pseudogene	NA
ENSG00000207386	Y RNA	NA
ENSG00000207387	Y RNA	NA
ENSG00000207389	RNA, U1 small nuclear 4	NA
ENSG00000207391	Y RNA	NA
ENSG00000207392	small nucleolar RNA, H/ACA box 20	NA
ENSG00000207393	RNA, U6 small nuclear 136, pseudogene	NA
ENSG00000207394	RNA, U6 small nuclear 1060, pseudogene	NA
ENSG00000207395	Y RNA	NA
ENSG00000207397	RNA, U6 small nuclear 1179, pseudogene	NA
ENSG00000207399	RNA, U6 small nuclear 1011, pseudogene	NA
ENSG00000207401	Y RNA	NA
ENSG00000207402	RNA, U6 small nuclear 959, pseudogene	NA
ENSG00000207403	Y RNA	NA
ENSG00000207404	Y RNA	NA
ENSG00000207405	small nucleolar RNA, H/ACA box 64	NA
ENSG00000207406	small nucleolar RNA, H/ACA box 41	NA
ENSG00000207408	Y RNA	NA
ENSG00000207411	Y RNA	NA
ENSG00000207412	RNA, U6 small nuclear 455, pseudogene	NA
ENSG00000207414	RNA, U6 small nuclear 768, pseudogene	NA
ENSG00000207415	RNA, U6 small nuclear 1151, pseudogene	NA
ENSG00000207416	Y RNA	NA
ENSG00000207417	Y RNA	NA
ENSG00000207420	Y RNA	NA
ENSG00000207421	small nucleolar RNA, C/D box 38B	NA
ENSG00000207422	RNA, U6 small nuclear 813, pseudogene	NA
ENSG00000207425	Y RNA	NA
ENSG00000207426	Y RNA	NA
ENSG00000207428	RNA, U6 small nuclear 95, pseudogene	NA
ENSG00000207430	U8 small nucleolar RNA	NA
ENSG00000207431	RNA, U6 small nuclear 906, pseudogene	NA
ENSG00000207432	U8 small nucleolar RNA	NA
ENSG00000207433	RNA, U6 small nuclear 246, pseudogene	NA
ENSG00000207434	RNA, U6 small nuclear 1072, pseudogene	NA
ENSG00000207435	RNA, U6 small nuclear 114, pseudogene	NA
ENSG00000207438	Y RNA	NA
ENSG00000207439	Y RNA	NA
ENSG00000207440	RNA, U6 small nuclear 541, pseudogene	NA
ENSG00000207441	RNA, U6 small nuclear 21, pseudogene	NA
ENSG00000207442	small nucleolar RNA, C/D box 116-6	NA
ENSG00000207443	RNA, U6 small nuclear 417, pseudogene	NA
ENSG00000207444	small nucleolar RNA, C/D box 56B	NA
ENSG00000207445	small nucleolar RNA, C/D box 15B	NA
ENSG00000207448	RNA, U6 small nuclear 520, pseudogene	NA
ENSG00000207449	RNA, U6 small nuclear 19, pseudogene	NA
ENSG00000207450	Y RNA	NA
ENSG00000207451	RNA, U6 small nuclear 291, pseudogene	NA
ENSG00000207452	RNA, U6 small nuclear 606, pseudogene	NA
ENSG00000207453	RNA, U6 small nuclear 535, pseudogene	NA
ENSG00000207454	RNA, U6 small nuclear 1104, pseudogene	NA
ENSG00000207455	RNA, U6 small nuclear 331, pseudogene	NA
ENSG00000207456	RNA, U6 small nuclear 997, pseudogene	NA
ENSG00000207457	RNA, U6 small nuclear 476, pseudogene	NA
ENSG00000207458	RNY3 pseudogene 9	NA
ENSG00000207459	RNA, U6 small nuclear 1311, pseudogene	NA
ENSG00000207460	small nucleolar RNA, C/D box 116-19	NA
ENSG00000207461	RNA, U6 small nuclear 253, pseudogene	NA
ENSG00000207462	RNA, U6 small nuclear 376, pseudogene	NA
ENSG00000207466	Y RNA	NA
ENSG00000207467	Y RNA	NA
ENSG00000207468	small nucleolar RNA, H/ACA box 19	NA
ENSG00000207472	RNA, U6 small nuclear 41, pseudogene	NA
ENSG00000207473	Y RNA	NA
ENSG00000207474	RNY1 pseudogene 7	NA
ENSG00000207475	small nucleolar RNA, H/ACA box 80E	NA
ENSG00000207476	RNA, U6 small nuclear 286, pseudogene	NA
ENSG00000207480	Y RNA	NA
ENSG00000207481	Y RNA	NA
ENSG00000207483	RNA, U6 small nuclear 1067, pseudogene	NA
ENSG00000207484	Y RNA	NA
ENSG00000207486	RNA, U6 small nuclear 1044, pseudogene	NA
ENSG00000207488	Y RNA	NA
ENSG00000207490	RNA, U6 small nuclear 987, pseudogene	NA
ENSG00000207492	RNA, U6 small nuclear 713, pseudogene	NA
ENSG00000207493	small nucleolar RNA, H/ACA box 46	NA
ENSG00000207494	Y RNA	NA
ENSG00000207495	RNY3 pseudogene 10	NA
ENSG00000207496	small nucleolar RNA, H/ACA box 7A	NA
ENSG00000207497	Y RNA	NA
ENSG00000207499	Y RNA	NA
ENSG00000207500	small nucleolar RNA, C/D box 102	NA
ENSG00000207501	RNA, variant U1 small nuclear 14	NA
ENSG00000207504	RNA, U6 small nuclear 1031, pseudogene	NA
ENSG00000207505	RNA, U6 small nuclear 1105, pseudogene	NA
ENSG00000207507	RNA, U6 small nuclear 9	NA
ENSG00000207508	RNA, U6 small nuclear 1237, pseudogene	NA
ENSG00000207511	RNA, U6 small nuclear 771, pseudogene	NA
ENSG00000207512	Y RNA	NA
ENSG00000207513	RNA, U1 small nuclear 3	NA
ENSG00000207515	RNA, U6 small nuclear 555, pseudogene	NA
ENSG00000207516	small nucleolar RNA, H/ACA box 41B	NA
ENSG00000207518	RNA, U6 small nuclear 59, pseudogene	NA
ENSG00000207523	small nucleolar RNA, H/ACA box 66	NA
ENSG00000207524	RNA, U6 small nuclear 33, pseudogene	NA
ENSG00000207525	Y RNA	NA
ENSG00000207546	microRNA 548c	NA
ENSG00000207547	microRNA 25	NA
ENSG00000207548	microRNA 217	NA
ENSG00000207549	microRNA 521-2	NA
ENSG00000207550	microRNA 99b	NA
ENSG00000207551	microRNA 608	NA
ENSG00000207552	microRNA 633	NA
ENSG00000207554	microRNA 647	NA
ENSG00000207559	microRNA 578	NA
ENSG00000207561	microRNA 635	NA
ENSG00000207562	microRNA 34c	NA
ENSG00000207563	microRNA 23b	NA
ENSG00000207568	microRNA 203a	NA
ENSG00000207569	microRNA 433	NA
ENSG00000207571	microRNA 615	NA
ENSG00000207573	microRNA 550a-2	NA
ENSG00000207574	microRNA 661	NA
ENSG00000207575	microRNA 649	NA
ENSG00000207577	microRNA 587	NA
ENSG00000207578	microRNA 583	NA
ENSG00000207579	microRNA 662	NA
ENSG00000207580	microRNA 526b	NA
ENSG00000207581	microRNA 199b	NA
ENSG00000207582	microRNA 30b	NA
ENSG00000207583	microRNA 606	NA
ENSG00000207585	microRNA 181d	NA
ENSG00000207586	microRNA 135a-2	NA
ENSG00000207587	microRNA 544a	NA
ENSG00000207588	microRNA 593	NA
ENSG00000207589	microRNA 508	NA
ENSG00000207590	microRNA 215	NA
ENSG00000207594	microRNA 520a	NA
ENSG00000207595	microRNA 181a-2	NA
ENSG00000207597	microRNA 490	NA
ENSG00000207598	microRNA 124-3	NA
ENSG00000207599	microRNA 520e	NA
ENSG00000207600	microRNA 598	NA
ENSG00000207604	microRNA 206	NA
ENSG00000207605	microRNA 191	NA
ENSG00000207606	microRNA 554	NA
ENSG00000207607	microRNA 200a	NA
ENSG00000207608	microRNA 127	NA
ENSG00000207609	microRNA 491	NA
ENSG00000207611	microRNA 149	NA
ENSG00000207612	microRNA 604	NA
ENSG00000207613	microRNA 181c	NA
ENSG00000207614	microRNA 193a	NA
ENSG00000207615	microRNA 515-2	NA
ENSG00000207616	microRNA 515-1	NA
ENSG00000207617	microRNA 3074	NA
ENSG00000207619	microRNA 585	NA
ENSG00000207620	microRNA 516a-2	NA
ENSG00000207622	microRNA 619	NA
ENSG00000207624	microRNA 194-1	NA
ENSG00000207625	microRNA 128-2	NA
ENSG00000207626	microRNA 562	NA
ENSG00000207627	microRNA 581	NA
ENSG00000207628	microRNA 651	NA
ENSG00000207629	microRNA 526a-1	NA
ENSG00000207630	microRNA 7-3	NA
ENSG00000207631	microRNA 641	NA
ENSG00000207632	microRNA 588	NA
ENSG00000207633	microRNA 505	NA
ENSG00000207634	microRNA 521-1	NA
ENSG00000207635	microRNA 499a	NA
ENSG00000207637	microRNA 595	NA
ENSG00000207638	microRNA 99a	NA
ENSG00000207639	microRNA 193b	NA
ENSG00000207641	microRNA 510	NA
ENSG00000207642	microRNA 571	NA
ENSG00000207644	microRNA 512-2	NA
ENSG00000207645	microRNA 512-1	NA
ENSG00000207646	microRNA 655	NA
ENSG00000207647	microRNA 153-1	NA
ENSG00000207649	microRNA 138-2	NA
ENSG00000207650	microRNA 570	NA
ENSG00000207651	microRNA 28	NA
ENSG00000207652	microRNA 621	NA
ENSG00000207653	microRNA 558	NA
ENSG00000207654	microRNA 128-1	NA
ENSG00000207656	microRNA 489	NA
ENSG00000207688	microRNA 548aa-2	NA
ENSG00000207689	microRNA 548a-2	NA
ENSG00000207691	microRNA 183	NA
ENSG00000207692	microRNA 592	NA
ENSG00000207693	microRNA 602	NA
ENSG00000207695	microRNA 184	NA
ENSG00000207696	microRNA 659	NA
